submission_pk,User,b'mAP weighted',b'mAP',b'Jan',b'Mar',b'Apr',b'May',b'Jun',b'Jul',b'Aug',b'Sep'
144277,GroundTruth,0.337645 (1),0.3464 (1),0.4142 (1),0.3729 (1),0.3414 (1),0.3032 (1),0.2933 (1),0.2567 (1),0.3112 (2),0.4779 (1),
144339,heboyong,0.324154 (2),0.3316 (2),0.3671 (8),0.3538 (4),0.3289 (2),0.2838 (2),0.2864 (2),0.2458 (3),0.3132 (1),0.4735 (2),
142718,BDD,0.312125 (3),0.3186 (3),0.3681 (7),0.3445 (6),0.3248 (3),0.2680 (4),0.2843 (3),0.2450 (4),0.3062 (3),0.4076 (3),
144520,PZH,0.308742 (4),0.3156 (4),0.3999 (2),0.3588 (3),0.3212 (5),0.2596 (6),0.2744 (4),0.2502 (2),0.3013 (4),0.3592 (6),
144516,BingDwenDwen,0.298681 (5),0.3054 (5),0.3565 (10),0.3477 (5),0.3241 (4),0.2702 (3),0.2707 (6),0.2337 (5),0.2808 (8),0.3598 (5),
142345,relax,0.290931 (6),0.2968 (6),0.3694 (5),0.3376 (9),0.3196 (6),0.2600 (5),0.2711 (5),0.2254 (6),0.2909 (5),0.3006 (15),
142833,cthun,0.289796 (7),0.2959 (7),0.3690 (6),0.3384 (8),0.3187 (7),0.2574 (8),0.2699 (7),0.2241 (8),0.2870 (6),0.3026 (14),
144223,theshy,0.280449 (8),0.2878 (8),0.3420 (11),0.3402 (7),0.3002 (10),0.2434 (12),0.2434 (16),0.2182 (9),0.2598 (12),0.3550 (8),
142364,newboy,0.280345 (9),0.2862 (9),0.3333 (13),0.3094 (18),0.2993 (11),0.2454 (11),0.2568 (11),0.2126 (14),0.2801 (9),0.3527 (9),
144538,PPAA,0.280286 (10),0.2860 (10),0.3265 (15),0.3143 (15),0.2943 (13),0.2398 (15),0.2573 (9),0.2163 (11),0.2794 (10),0.3602 (4),
143695,zx,0.273175 (11),0.2795 (11),0.3220 (16),0.3202 (14),0.3013 (9),0.2431 (13),0.2477 (14),0.2153 (12),0.2522 (16),0.3343 (11),
143488,longpham3105,0.266407 (12),0.2758 (12),0.3778 (4),0.3276 (11),0.2840 (16),0.2108 (20),0.2105 (22),0.1922 (21),0.2467 (18),0.3568 (7),
144327,hby,0.265559 (13),0.2704 (13),0.3099 (20),0.2900 (22),0.2809 (19),0.2411 (14),0.2503 (13),0.2088 (15),0.2616 (11),0.3203 (13),
144515,chenwei,0.263790 (14),0.2672 (15),0.3807 (3),0.3619 (2),0.3104 (8),0.2593 (7),0.2562 (12),0.2249 (7),0.2848 (7),0.0593 (24),
143500,johnny2304,0.261116 (15),0.2701 (14),0.3648 (9),0.3278 (10),0.2819 (17),0.2068 (22),0.2078 (23),0.1904 (23),0.2434 (19),0.3380 (10),
143780,Charles,0.256733 (16),0.2639 (16),0.3132 (19),0.3143 (16),0.2904 (15),0.2149 (18),0.2261 (18),0.1964 (19),0.2324 (22),0.3236 (12),
143894,DanDan,0.252470 (17),0.2571 (18),0.3137 (18),0.3057 (19),0.2810 (18),0.2245 (17),0.2423 (17),0.2004 (16),0.2531 (15),0.2363 (19),
141917,wyndy,0.251300 (18),0.2582 (17),0.3182 (17),0.3210 (13),0.2780 (20),0.2128 (19),0.2206 (20),0.1919 (22),0.2349 (21),0.2883 (16),
141699,Liyuanhao,0.250606 (19),0.2570 (19),0.3333 (12),0.3112 (17),0.2649 (23),0.2002 (23),0.2211 (19),0.1986 (18),0.2427 (20),0.2839 (17),
143286,qiqi,0.249509 (20),0.2569 (20),0.3271 (14),0.3231 (12),0.2774 (21),0.2095 (21),0.2146 (21),0.1938 (20),0.2260 (23),0.2833 (18),
142489,lyx,0.249235 (21),0.2512 (21),0.2842 (23),0.2958 (21),0.2935 (14),0.2559 (10),0.2569 (10),0.2131 (13),0.2572 (14),0.1525 (22),
142473,mada,0.248570 (22),0.2500 (22),0.2889 (22),0.2985 (20),0.2961 (12),0.2571 (9),0.2599 (8),0.2164 (10),0.2598 (13),0.1236 (23),
141669,xa_ever,0.244929 (23),0.2481 (23),0.2763 (24),0.2874 (23),0.2763 (22),0.2325 (16),0.2476 (15),0.1992 (17),0.2471 (17),0.2182 (20),
142136,juliojj,0.196417 (24),0.2033 (24),0.3068 (21),0.2849 (24),0.2044 (24),0.1559 (24),0.1535 (24),0.1441 (24),0.1944 (24),0.1827 (21),
