submission_pk,User,b'AP @ 0.50:0.95',b'AP @ 0.50',b'AP @ 0.75',b'AP @ 0.50:0.95 (small)',b'AP @ 0.50:0.95 (medium)',b'AP @ 0.50:0.95 (large)'
176844,lengyu.yb,0.531 (1),0.837 (1),0.577 (2),0.537 (1),0.646 (2),0.762 (2),
172568,www,0.506 (2),0.762 (4),0.573 (3),0.516 (2),0.645 (4),0.740 (10),
176211,GroundTruth,0.506 (3),0.783 (3),0.581 (1),0.497 (4),0.709 (1),0.763 (1),
174638,Yanbiao_Ma,0.498 (4),0.836 (2),0.479 (11),0.502 (3),0.609 (11),0.717 (15),
176873,mm,0.476 (5),0.739 (5),0.531 (4),0.479 (5),0.606 (12),0.732 (13),
176763,woodking,0.469 (6),0.730 (7),0.527 (5),0.474 (6),0.609 (10),0.732 (12),
176859,PingPingPangPangBangBangBang,0.467 (7),0.737 (6),0.512 (7),0.467 (8),0.626 (7),0.747 (7),
176640,gavin,0.465 (8),0.723 (9),0.485 (10),0.467 (7),0.628 (6),0.752 (5),
176804,poolyn,0.464 (9),0.728 (8),0.514 (6),0.464 (10),0.626 (7),0.747 (7),
176803,jwhhs,0.463 (10),0.698 (10),0.507 (8),0.464 (9),0.613 (9),0.742 (9),
176865,lisi12138,0.460 (11),0.698 (11),0.500 (9),0.460 (11),0.613 (8),0.743 (8),
176189,qiqi,0.393 (12),0.620 (12),0.442 (12),0.396 (12),0.590 (13),0.728 (14),
175028,muren,0.357 (13),0.459 (16),0.432 (13),0.361 (13),0.639 (5),0.762 (3),
176676,Cherry012,0.356 (14),0.460 (15),0.430 (14),0.361 (14),0.645 (3),0.756 (4),
164900,Doh,0.340 (15),0.614 (13),0.341 (17),0.344 (15),0.487 (16),0.593 (16),
176497,pq,0.340 (16),0.614 (14),0.340 (18),0.344 (15),0.487 (16),0.592 (17),
172349,xswl,0.334 (17),0.453 (18),0.415 (15),0.335 (16),0.576 (14),0.735 (11),
176522,duongtran,0.300 (18),0.418 (19),0.384 (16),0.273 (17),0.543 (15),0.751 (6),
175058,shabi,0.208 (19),0.456 (17),0.175 (19),0.210 (18),0.000 (19),0.000 (20),
172192,X_Jimmy,0.074 (20),0.232 (20),0.018 (20),0.096 (19),0.106 (17),0.213 (19),
99438,attilalengyel,0.043 (21),0.142 (21),0.010 (21),0.079 (20),0.042 (18),0.215 (18),
