submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10',b'APso',b'APmo',b'APho'
369545,zhangtao-whu,50.11 (1),77.40 (1),51.14 (3),19.19 (7),55.50 (2),68.16 (2),55.42 (3),29.17 (2),
486844,jinyan,49.52 (2),75.54 (2),52.27 (1),19.39 (3),54.93 (3),66.20 (5),55.64 (2),29.21 (1),
352938,MasterBin-IIAU,49.02 (3),72.55 (3),52.21 (2),19.42 (2),56.21 (1),64.85 (8),53.98 (4),24.86 (7),
347812,leoo,46.74 (4),70.91 (5),49.48 (4),19.11 (9),50.82 (7),65.93 (6),52.72 (6),27.61 (3),
337159,peiyunc1989,46.31 (5),71.06 (4),48.35 (6),19.22 (6),51.43 (6),66.36 (4),53.13 (5),24.16 (8),
348624,andreadps,46.07 (6),69.66 (6),47.82 (7),18.96 (10),50.80 (8),67.99 (3),55.89 (1),21.68 (15),
441288,rajatkoner08,45.69 (7),69.12 (8),47.80 (8),19.23 (5),49.40 (12),64.55 (9),51.61 (8),25.71 (6),
282055,AA250250,45.67 (8),68.82 (9),49.28 (5),19.31 (4),51.93 (4),60.08 (19),51.12 (9),23.74 (10),
225702,miranheo,45.37 (9),69.22 (7),47.76 (9),18.91 (12),49.05 (16),63.25 (13),50.91 (10),27.33 (4),
189845,tiantian.tt,44.49 (10),68.33 (10),46.18 (11),18.49 (14),51.53 (5),61.96 (16),49.94 (12),21.55 (16),
322368,qz96,44.14 (11),67.96 (13),46.24 (10),18.24 (20),50.22 (10),57.76 (25),47.05 (20),25.88 (5),
469818,DeshuiMiao,44.00 (12),68.29 (12),45.26 (14),18.91 (11),47.52 (21),64.35 (10),51.75 (7),23.47 (11),
412799,zenoc,43.58 (13),66.80 (16),45.66 (12),18.15 (23),47.51 (22),63.89 (12),49.37 (14),24.09 (9),
223535,timmein,43.50 (14),68.30 (11),43.80 (19),19.42 (1),46.94 (24),69.54 (1),49.81 (13),21.95 (14),
185948,xianjing.xj,43.06 (15),67.46 (14),43.81 (18),18.17 (22),50.31 (9),60.76 (17),48.58 (16),19.89 (20),
432177,happyresearch,42.90 (16),67.02 (15),44.84 (15),19.16 (8),46.63 (25),65.12 (7),50.43 (11),21.43 (17),
187088,qfl,42.74 (17),66.62 (17),45.52 (13),18.49 (15),49.93 (11),59.69 (20),48.88 (15),20.63 (19),
178903,zitongz3,42.56 (18),64.74 (24),42.62 (22),18.42 (16),49.09 (14),58.87 (24),45.09 (26),22.61 (12),
337673,dmckee5,42.45 (19),64.34 (26),42.65 (21),18.28 (19),49.05 (15),58.98 (22),45.02 (27),22.49 (13),
174543,Carl_Huang,41.88 (20),65.69 (20),43.68 (20),18.28 (18),49.30 (13),58.97 (23),46.57 (22),19.21 (23),
304284,Chenney,41.26 (21),64.79 (22),43.91 (16),17.59 (26),48.45 (17),59.44 (21),47.37 (18),18.18 (29),
453289,scyf4567,41.22 (22),63.85 (27),41.92 (23),18.86 (13),45.38 (28),62.38 (14),47.54 (17),19.58 (22),
304941,zhenghaoChenney,41.17 (23),64.61 (25),43.81 (17),17.35 (28),48.09 (18),59.44 (21),47.34 (19),18.11 (30),
