submission_pk,User,b'SCORE',b'RMAE',b'EWMAE',b'RDS',b'RTSD'
153848,hitcslj,0.90400 (1),0.01300 (4),0.11100 (11),0.00200 (2),0.00000 (1),
151323,zhoushengchao,0.90000 (2),0.01900 (9),0.09500 (8),0.00300 (3),0.00000 (1),
151530,Devonn,0.85500 (3),0.01200 (3),0.08400 (1),0.00200 (2),0.01500 (3),
154030,k-zha14,0.84700 (4),0.01200 (3),0.09000 (5),0.00200 (2),0.01500 (3),
155129,JingAm,0.84600 (5),0.00900 (1),0.08500 (2),0.00200 (2),0.01700 (4),
154929,Yaxiong_Liu,0.84200 (6),0.01200 (3),0.08700 (3),0.00000 (1),0.01800 (5),
148229,jianliu,0.83700 (7),0.03000 (11),0.10800 (10),0.00000 (1),0.01000 (2),
140860,JustTryTry,0.82800 (8),0.01400 (5),0.09100 (6),0.00200 (2),0.01900 (6),
141403,hanlkj26943,0.81600 (9),0.01600 (7),0.09000 (5),0.00600 (4),0.01800 (5),
141778,Tradeoff,0.81600 (9),0.01400 (5),0.09100 (6),0.00200 (2),0.02100 (8),
140031,jokerWRN,0.81500 (10),0.01100 (2),0.08500 (2),0.00700 (5),0.02000 (7),
154822,renruixdu,0.81300 (11),0.01500 (6),0.09200 (7),0.00800 (6),0.01800 (5),
155048,laod,0.80900 (12),0.01600 (7),0.08900 (4),0.01100 (8),0.01700 (4),
139840,NewBee,0.80200 (13),0.01500 (6),0.09200 (7),0.00800 (6),0.02000 (7),
138273,Snow,0.78600 (14),0.01900 (9),0.09500 (8),0.01300 (9),0.01800 (5),
138991,j911,0.78500 (15),0.01700 (8),0.08900 (4),0.01000 (7),0.02200 (9),
111563,jnjaby,0.71600 (16),0.03000 (11),0.10600 (9),0.02100 (10),0.02200 (9),
155153,asgo-mvg,0.70800 (17),0.02900 (10),0.11700 (12),0.02400 (11),0.02200 (9),
