submission_pk,User,b'F1\xf0\x9d\x91\x9d\xf0\x9d\x91\x9f\xf0\x9d\x91\x92\xf0\x9d\x91\x9a\xf0\x9d\x91\x96\xf0\x9d\x91\xa0\xf0\x9d\x91\x92'
150776,newtonysls,0.77 (1),
149822,archit_mang01,0.76 (2),
118379,VeraDavydova,0.75 (3),
149873,FraunhoferSIT,0.47 (4),
151435,leungwai,0.42 (5),
118471,tlenusik,0.41 (6),
submission_pk,User,b'F1\xf0\x9d\x91\xa0\xf0\x9d\x91\xa1\xf0\x9d\x91\x8e\xf0\x9d\x91\x9b\xf0\x9d\x91\x90\xf0\x9d\x91\x92'
151435,leungwai,- (-),
150776,newtonysls,- (-),
149873,FraunhoferSIT,- (-),
149822,archit_mang01,- (-),
118471,tlenusik,- (-),
118379,VeraDavydova,- (-),
