submission_pk,User,b'NME'
139439,yuhsuanchen0528,1.946990 (1),
138685,YuKai,1.989961 (2),
138614,YCHsiao,2.032356 (3),
139652,yunhsiang,2.042925 (4),
139681,tsaichemin,2.057820 (5),
138095,easonlin19,2.104567 (6),
139136,johnson0906,2.114620 (7),
139255,pass_cv,2.123415 (8),
138208,Joseph-Lin,2.157323 (9),
139600,Shih-Hsuan-Pan,2.202449 (10),
139647,davidhuang,2.232814 (11),
139646,ChibakuTensei,2.277486 (12),
139366,ntucseegura,2.282552 (13),
139702,superidoldexiaorong,2.334313 (14),
137786,Offliner,2.441437 (15),
137481,FisherLai,2.463715 (16),
139587,daniellin,2.502614 (17),
138221,Lin.You_Sheng,2.608564 (18),
139421,hugochen,2.709195 (19),
139551,Access232,2.754910 (20),
125178,jackieliu,4.354907 (21),
139726,ivy777,4.929198 (22),
139704,NTUST,11.211169 (23),
