submission_pk,User,b'ChrF1',b'Style transfer accuracy',b'Join'
14851,Shibalda,0.103062 (1),0.890965 (6),0.091824 (1),
14326,AlexeyOlkhovikov_,0.086181 (2),0.927986 (5),0.079974 (2),
11450,lilaspourpre,0.071314 (3),0.866547 (9),0.061797 (4),
16816,zlatamaria,0.064574 (4),0.988619 (1),0.063839 (3),
14307,SergeyPetrakov,0.060747 (5),0.659753 (11),0.040078 (9),
14559,albertSayapin,0.060628 (6),0.885589 (7),0.053692 (5),
14321,petr_sokerin,0.055126 (7),0.942883 (4),0.051978 (6),
14328,Andrei.Erofeev,0.049915 (8),0.975530 (2),0.048694 (7),
13952,NikitaBaramiia,0.049395 (9),0.951905 (3),0.047019 (8),
14243,pkrajput7,0.012180 (10),0.874152 (8),0.010647 (10),
14591,inflover,0.009342 (11),0.736812 (10),0.006884 (11),
