submission_pk,User,b'MAP',b'MRR'
279650,Anastasiia.Batsheva,0.94 (1),0.96 (1),
279688,luckyman28,0.30 (2),0.35 (2),
22682,NadezhdaAlsahanova,0.30 (3),0.34 (3),
22297,Andrei.Erofeev,0.28 (4),0.32 (4),
11516,lilaspourpre,0.28 (5),0.32 (5),
279585,kirakuznetsova,0.27 (6),0.32 (6),
278861,Vir_Ven,0.27 (6),0.32 (6),
22587,olya-const,0.27 (6),0.32 (6),
21414,AlexeyOlkhovikov_,0.27 (7),0.31 (7),
21519,FALCON25000,0.26 (8),0.31 (8),
279107,alexsend57,0.25 (9),0.27 (9),
279604,bbogdanovaalina,0.21 (10),0.24 (10),
22193,albertSayapin,0.12 (11),0.14 (11),
22732,SergeyPetrakov,0.00 (12),0.00 (12),
280161,azelentsov,0.00 (13),0.00 (13),
22424,NikitaBaramiia,0.00 (13),0.00 (13),
