submission_pk,User,b'HOTA',b'DetA',b'AssA',b'MOTA',b'IDF1'
192051,mfv,73.397503 (1),83.739582 (2),64.440437 (1),92.135313 (9),76.016442 (1),
180451,C-BIoU,66.587553 (2),81.285554 (13),54.681531 (2),92.278484 (7),71.371730 (2),
192396,ymzis69,64.586254 (3),82.548191 (3),50.684879 (3),92.343844 (6),64.502604 (4),
176443,bphengyan,64.584515 (4),83.757089 (1),49.908850 (4),94.179122 (1),68.574973 (3),
177515,HanGuangXin,62.530060 (5),81.434297 (10),48.127464 (5),90.135424 (16),63.011450 (5),
192093,lisi,61.319954 (6),81.695739 (6),46.143637 (6),92.378426 (5),62.152514 (6),
191401,Melody,59.775511 (7),81.295477 (12),44.050839 (7),91.148337 (14),60.568575 (7),
192388,Kyujin,59.685038 (8),82.030713 (4),43.539667 (8),91.573007 (11),58.718019 (10),
190450,Jubi_Hwang,59.167863 (9),81.955447 (5),42.854149 (9),92.217273 (8),60.099101 (8),
190287,Junyang_He,57.094415 (10),80.232587 (16),40.748827 (10),91.666724 (10),58.811181 (9),
192515,maisieinthelab,56.365056 (11),81.392338 (11),39.170017 (11),92.602519 (3),55.797791 (11),
192276,maisieinthehouse,56.365056 (11),81.392338 (11),39.170017 (11),92.602519 (3),55.797791 (11),
184768,liuzhonglin,55.559424 (12),81.686765 (7),37.871264 (12),90.544532 (15),54.758538 (13),
192196,Percy,55.421477 (13),81.478467 (8),37.831216 (13),92.619118 (2),55.167710 (12),
187573,Grace_Lu,55.113281 (14),81.478173 (9),37.405471 (15),92.431337 (4),54.228932 (14),
184753,Kikyo,54.987359 (15),80.286974 (15),37.763672 (14),89.273635 (17),53.956387 (15),
187504,xiaochangcheng,52.337016 (16),80.833208 (14),33.969699 (17),91.321248 (12),53.547849 (16),
192534,TingYi,51.643105 (17),77.114681 (18),34.886066 (16),91.227184 (13),53.405257 (17),
179354,peizesun,41.832869 (18),78.080086 (17),22.599878 (18),86.824177 (18),35.732867 (18),
