submission_pk,User,b'mAP10',b'Top-5 accuracy'
182291,qwerty64,0.84990 (1),98.89980 (1),
179408,neptune,0.71770 (2),71.75940 (9),
182024,rmrf,0.59990 (3),92.19240 (3),
177453,zongyi,0.58750 (4),92.92880 (2),
180949,WesleyZhang,0.38260 (5),82.47720 (4),
181917,vuvko,0.37670 (6),79.22990 (7),
181159,kirito,0.37530 (7),74.50090 (8),
159991,buptwangqiang,0.36630 (8),79.43390 (5),
151394,michalk,0.36630 (8),79.43390 (5),
170879,LAClippers,0.36320 (9),79.33630 (6),
178131,Ashept,0.24540 (10),65.04300 (10),
