submission_pk,User,b'mAP_L',b'AP50_L',b'AP75_L',b'AR1_L',b'AR10_L',b'mAP',b'mAP_S',b'AP50_S',b'AP75_S',b'AR1_S',b'AR10_S'
192215,Yong,0.429 (1),0.607 (3),0.468 (1),0.350 (1),0.514 (4),0.214 (8),0.000 (8),0.000 (8),0.000 (7),0.000 (7),0.000 (8),
191744,Man,0.406 (2),0.584 (5),0.434 (2),0.340 (3),0.530 (3),0.203 (9),0.000 (8),0.000 (8),0.000 (7),0.000 (7),0.000 (8),
192054,sjx,0.406 (3),0.607 (2),0.422 (3),0.326 (5),0.490 (5),0.203 (10),0.000 (8),0.000 (8),0.000 (7),0.000 (7),0.000 (8),
192214,ID4,0.402 (4),0.611 (1),0.417 (4),0.326 (6),0.550 (1),0.201 (11),0.000 (8),0.000 (8),0.000 (7),0.000 (7),0.000 (8),
192098,SakuraT,0.386 (5),0.578 (6),0.391 (6),0.341 (2),0.537 (2),0.193 (12),0.000 (8),0.000 (8),0.000 (7),0.000 (7),0.000 (8),
190214,kyriemelon,0.380 (6),0.558 (8),0.392 (5),0.324 (7),0.480 (6),0.484 (1),0.588 (1),0.810 (1),0.633 (1),0.480 (1),0.659 (1),
191720,Starburst,0.380 (7),0.599 (4),0.378 (7),0.335 (4),0.477 (7),0.190 (13),0.000 (8),0.000 (8),0.000 (7),0.000 (7),0.000 (8),
192210,Carl_Huang,0.363 (8),0.568 (7),0.371 (8),0.322 (8),0.459 (8),0.463 (2),0.563 (2),0.785 (2),0.609 (2),0.466 (2),0.638 (2),
188578,chuyhu,0.244 (9),0.442 (9),0.241 (9),0.231 (9),0.317 (9),0.324 (3),0.404 (3),0.615 (3),0.437 (3),0.376 (3),0.502 (3),
186103,zjw,0.244 (9),0.442 (9),0.241 (9),0.231 (9),0.317 (9),0.284 (5),0.324 (4),0.487 (4),0.342 (4),0.367 (4),0.481 (4),
181721,LinjieY,0.213 (10),0.412 (10),0.222 (10),0.202 (10),0.293 (10),0.241 (6),0.268 (6),0.460 (5),0.271 (6),0.277 (6),0.354 (6),
191244,cuixuan,0.143 (11),0.209 (11),0.157 (11),0.159 (11),0.224 (11),0.225 (7),0.307 (5),0.448 (6),0.326 (5),0.348 (5),0.446 (5),
189645,nuc1203,0.077 (12),0.116 (12),0.082 (12),0.054 (12),0.092 (12),0.320 (4),0.563 (2),0.785 (2),0.609 (2),0.466 (2),0.638 (2),
188679,happyresearch,0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (13),0.000 (14),0.000 (7),0.000 (7),0.000 (7),0.000 (7),0.000 (7),
