submission_pk,User,b'Overall',b'J_seen',b'J_unseen',b'F_seen',b'F_unseen'
488993,tomorrow,0.899 (1),0.877 (1),0.852 (1),0.929 (1),0.940 (1),
188250,j7991,0.883 (2),0.869 (2),0.829 (2),0.917 (2),0.916 (2),
469232,Jiaming-Zhang,0.877 (3),0.865 (3),0.829 (3),0.909 (3),0.904 (3),
449317,JiahaoLi,0.868 (9),0.858 (8),0.810 (13),0.908 (4),0.896 (9),
241179,KF51,0.873 (4),0.863 (4),0.822 (4),0.907 (5),0.901 (5),
475682,jmgoo,0.866 (12),0.859 (6),0.811 (12),0.906 (6),0.887 (22),
485761,jmmmm,0.870 (5),0.859 (5),0.820 (6),0.905 (7),0.896 (8),
449451,yamy-cheng,0.863 (14),0.857 (10),0.803 (25),0.904 (8),0.886 (24),
462149,optic,0.869 (7),0.858 (7),0.816 (7),0.904 (9),0.895 (11),
272242,pokobe,0.868 (8),0.858 (9),0.816 (8),0.902 (10),0.895 (10),
224095,lll,0.870 (6),0.855 (11),0.820 (5),0.900 (11),0.904 (4),
237778,joker,0.867 (10),0.855 (12),0.815 (10),0.900 (12),0.900 (6),
237828,Carolyn,0.867 (11),0.854 (13),0.815 (9),0.900 (13),0.899 (7),
251926,gongjin,0.864 (13),0.853 (14),0.812 (11),0.898 (14),0.893 (13),
322213,ux,0.861 (15),0.847 (16),0.807 (14),0.895 (15),0.895 (12),
426962,CongLi,0.858 (16),0.845 (18),0.807 (17),0.894 (16),0.887 (23),
387872,fly7777,0.850 (29),0.846 (17),0.790 (52),0.893 (17),0.871 (52),
404366,JTDEV,0.858 (17),0.848 (15),0.803 (24),0.892 (18),0.888 (21),
184778,Bruce2022,0.858 (17),0.848 (15),0.803 (24),0.892 (18),0.888 (21),
403949,jiawen,0.853 (26),0.842 (27),0.801 (29),0.890 (19),0.879 (33),
194078,_YanKun_,0.855 (23),0.845 (20),0.801 (28),0.890 (20),0.883 (31),
486818,einston,0.845 (42),0.843 (23),0.781 (61),0.890 (21),0.867 (57),
481636,weic,0.853 (27),0.845 (19),0.798 (36),0.890 (22),0.879 (35),
474955,longma,0.857 (18),0.842 (25),0.807 (18),0.889 (23),0.889 (18),
178042,vos,0.856 (20),0.842 (26),0.806 (19),0.889 (24),0.888 (20),
182568,Salted_Fish1,0.849 (30),0.838 (30),0.793 (46),0.888 (25),0.878 (38),
320061,LiShanglin,0.855 (22),0.839 (29),0.804 (21),0.888 (26),0.889 (17),
282585,himanshu2197,0.854 (24),0.843 (22),0.803 (26),0.886 (27),0.885 (27),
260370,andlyu,0.854 (25),0.843 (24),0.803 (27),0.886 (28),0.885 (26),
396212,jottue,0.856 (19),0.844 (21),0.807 (16),0.885 (29),0.889 (16),
215087,hylin,0.855 (21),0.840 (28),0.807 (15),0.884 (30),0.890 (14),
188263,FDU_zhz,0.848 (35),0.837 (34),0.796 (37),0.883 (31),0.878 (39),
178978,jimmy_wudq,0.842 (49),0.838 (33),0.781 (62),0.883 (32),0.867 (56),
205120,asdasd,0.843 (47),0.838 (31),0.787 (54),0.883 (33),0.865 (59),
177700,tangji1234,0.849 (31),0.838 (32),0.799 (34),0.881 (34),0.879 (34),
423675,HuiSu,0.844 (45),0.834 (36),0.787 (56),0.881 (35),0.872 (51),
196630,xing1,0.852 (28),0.834 (37),0.804 (20),0.881 (36),0.889 (15),
276754,zenoc,0.845 (44),0.831 (43),0.791 (49),0.880 (37),0.875 (45),
203579,coda_compete,0.849 (33),0.832 (42),0.799 (33),0.880 (38),0.885 (28),
178256,niceL,0.845 (43),0.833 (39),0.794 (44),0.880 (39),0.874 (47),
188911,longma3,0.846 (41),0.834 (38),0.794 (45),0.880 (40),0.875 (46),
196747,fdsfaswfdafd,0.849 (34),0.831 (44),0.800 (30),0.879 (41),0.884 (29),
184344,SA20,0.847 (39),0.832 (40),0.798 (35),0.878 (42),0.879 (36),
196985,jingfa,0.848 (37),0.830 (46),0.800 (31),0.878 (43),0.884 (30),
248447,Starburst,0.847 (40),0.837 (35),0.796 (39),0.878 (44),0.876 (43),
292582,lfc1995,0.849 (32),0.832 (41),0.803 (23),0.877 (45),0.883 (32),
388095,lll7733,0.838 (55),0.828 (50),0.779 (65),0.877 (46),0.868 (53),
187000,LinjieY,0.844 (46),0.828 (49),0.796 (38),0.875 (47),0.876 (44),
177350,kkks,0.847 (38),0.830 (45),0.799 (32),0.874 (48),0.886 (25),
419733,Joeye,0.848 (36),0.829 (48),0.804 (22),0.873 (49),0.888 (19),
479312,JiyunKim,0.843 (48),0.826 (51),0.794 (42),0.872 (50),0.878 (37),
493818,Pyyh,0.840 (53),0.825 (56),0.792 (47),0.871 (51),0.873 (49),
491018,Kitte,0.829 (62),0.823 (60),0.770 (70),0.870 (52),0.854 (70),
182647,moerzy,0.842 (52),0.826 (54),0.794 (43),0.870 (53),0.877 (42),
472088,chunfai,0.840 (54),0.825 (57),0.792 (48),0.870 (54),0.872 (50),
218732,r.miles,0.842 (51),0.826 (53),0.795 (41),0.870 (55),0.877 (40),
385352,chuwenhsuan,0.842 (50),0.826 (52),0.795 (40),0.870 (56),0.877 (41),
345698,wjn922,0.827 (66),0.829 (47),0.768 (72),0.869 (57),0.841 (78),
201007,L599,0.837 (57),0.824 (58),0.788 (53),0.869 (58),0.868 (54),
226146,ID4,0.834 (58),0.825 (55),0.779 (64),0.869 (59),0.861 (63),
301526,qinliu,0.827 (67),0.824 (59),0.765 (75),0.868 (60),0.850 (73),
385809,kxjiang,0.824 (72),0.820 (63),0.764 (77),0.866 (61),0.848 (75),
386409,MUVGuan,0.826 (70),0.819 (64),0.766 (74),0.866 (62),0.852 (71),
491117,karchen,0.838 (56),0.823 (61),0.790 (51),0.864 (63),0.874 (48),
332637,eskartad,0.828 (65),0.821 (62),0.772 (69),0.864 (64),0.855 (69),
326395,cwc,0.832 (60),0.818 (66),0.786 (58),0.863 (65),0.863 (62),
383120,jkjkjk,0.825 (71),0.818 (65),0.767 (73),0.863 (66),0.852 (72),
180852,SakuraT,0.828 (64),0.815 (67),0.780 (63),0.858 (67),0.859 (64),
220672,sdruix,0.815 (77),0.815 (68),0.752 (80),0.858 (68),0.834 (79),
210419,dadnanda,0.819 (74),0.811 (74),0.763 (78),0.858 (69),0.843 (76),
185901,youli22,0.833 (59),0.815 (69),0.791 (50),0.857 (70),0.868 (55),
405361,test_vos,0.831 (61),0.813 (70),0.787 (55),0.855 (71),0.866 (58),
245496,dyh127,0.826 (69),0.812 (72),0.781 (60),0.854 (72),0.858 (67),
490016,ppzw,0.826 (68),0.811 (73),0.782 (59),0.854 (73),0.859 (65),
377938,lxj,0.829 (63),0.813 (71),0.787 (57),0.853 (74),0.864 (61),
176991,KunYan,0.823 (73),0.802 (75),0.779 (66),0.847 (75),0.865 (60),
474429,haylee,0.814 (78),0.800 (76),0.765 (76),0.844 (76),0.848 (74),
188937,radon,0.802 (81),0.797 (78),0.744 (82),0.842 (77),0.823 (82),
430121,laybebe,0.796 (83),0.797 (79),0.734 (84),0.840 (78),0.812 (85),
330115,unknow,0.818 (75),0.796 (80),0.778 (67),0.840 (79),0.859 (66),
260611,kgeorgid,0.818 (76),0.799 (77),0.776 (68),0.839 (80),0.857 (68),
275508,DJL,0.802 (80),0.796 (81),0.748 (81),0.839 (81),0.825 (81),
327340,diaozhuo99,0.806 (79),0.788 (82),0.769 (71),0.827 (82),0.842 (77),
178455,johnwick,0.800 (82),0.788 (83),0.755 (79),0.825 (83),0.833 (80),
383576,virialdi,0.739 (89),0.772 (84),0.650 (91),0.816 (84),0.717 (92),
354463,Merci2,0.777 (85),0.770 (85),0.714 (88),0.812 (85),0.812 (84),
379227,reachin,0.783 (84),0.768 (86),0.738 (83),0.809 (86),0.819 (83),
275529,xjtuwh,0.773 (86),0.766 (87),0.723 (86),0.805 (87),0.797 (88),
194660,lzl2040,0.771 (87),0.764 (88),0.716 (87),0.804 (88),0.798 (87),
334827,zhangxiaosong18,0.766 (88),0.744 (89),0.724 (85),0.788 (89),0.808 (86),
317913,XiaoYW1998,0.731 (90),0.740 (90),0.660 (89),0.772 (90),0.752 (89),
421730,bohdan_sydor,0.668 (93),0.718 (91),0.578 (93),0.751 (91),0.625 (94),
493622,qttruong,0.704 (91),0.696 (92),0.653 (90),0.732 (92),0.733 (90),
442062,Tianqi-gege,0.669 (92),0.656 (93),0.637 (92),0.664 (93),0.718 (91),
488291,shuidi,0.605 (94),0.645 (94),0.557 (95),0.629 (94),0.590 (95),
189161,jyhahaha,0.602 (95),0.605 (95),0.566 (94),0.610 (95),0.629 (93),
463094,lllllllllllllll,0.479 (96),0.516 (96),0.406 (96),0.535 (96),0.459 (96),
185753,akashkr,0.431 (97),0.491 (98),0.365 (97),0.486 (97),0.383 (97),
450065,ayu_22,0.416 (98),0.492 (97),0.342 (98),0.477 (98),0.356 (98),
362263,bamboopu96,0.236 (99),0.304 (99),0.212 (99),0.224 (99),0.205 (99),
193884,weiya_89,0.236 (99),0.304 (99),0.212 (99),0.224 (99),0.205 (99),
176984,yanpzhao,0.095 (100),0.105 (100),0.076 (100),0.114 (100),0.085 (100),
