submission_pk,User,b'meanAP',b'APpedestrian',b'APcyclist',b'APcar',b'APtruck',b'APtram',b'APtricycle'
191763,gavin,85.13 (1),83.61 (1),89.55 (1),94.35 (1),90.70 (1),88.68 (1),63.91 (1),
191803,IPIU-XDU,82.19 (2),82.06 (2),87.23 (2),92.92 (2),88.09 (2),84.63 (2),58.21 (3),
191834,transformer,81.26 (3),79.83 (5),85.54 (4),92.02 (7),85.91 (7),82.56 (5),61.70 (2),
191663,zuoxinmeng,80.04 (4),79.45 (7),85.54 (4),92.38 (3),86.79 (4),82.70 (4),53.38 (5),
454291,miaodq,79.84 (5),80.91 (3),86.10 (3),92.37 (4),86.93 (3),82.96 (3),49.79 (9),
191609,enenens,79.41 (6),79.14 (9),85.34 (5),92.19 (5),86.39 (5),81.91 (6),51.49 (7),
191671,aaasss,79.18 (7),78.98 (10),85.31 (6),92.09 (6),86.17 (6),81.71 (7),50.80 (8),
191216,curry0504,79.07 (8),79.36 (8),84.91 (7),91.62 (8),85.27 (8),81.37 (8),51.86 (6),
189610,newboy,78.91 (9),78.09 (11),84.45 (8),91.06 (10),84.62 (10),81.71 (7),53.53 (4),
191383,relax,78.22 (10),79.79 (6),84.25 (9),91.44 (9),84.76 (9),79.63 (10),49.48 (10),
191657,www,76.82 (11),80.80 (4),84.15 (10),90.64 (12),84.52 (11),79.14 (14),41.65 (16),
189525,Liyuanhao,76.49 (12),77.77 (15),83.27 (11),90.96 (11),84.40 (12),79.84 (9),42.72 (13),
188883,reacher1111,76.30 (13),78.01 (12),82.43 (13),87.98 (17),81.93 (16),79.62 (11),47.86 (11),
191502,gggg,76.29 (14),78.01 (12),82.43 (13),87.97 (18),81.92 (17),79.52 (13),47.86 (11),
191349,gaotemp,76.29 (14),78.01 (12),82.43 (13),87.97 (18),81.92 (17),79.52 (13),47.86 (11),
190460,gaofeng,76.27 (15),77.99 (13),82.43 (13),87.97 (18),81.91 (18),79.59 (12),47.74 (12),
185758,zhangyt,75.56 (16),77.86 (14),82.67 (12),90.40 (13),82.94 (13),77.08 (17),42.42 (14),
188850,reacher,75.06 (17),77.31 (16),81.72 (14),88.16 (16),82.14 (14),78.69 (15),42.33 (15),
187075,zhaokanglun,71.96 (18),72.85 (18),80.38 (16),88.28 (15),79.97 (19),74.80 (18),35.46 (18),
178190,DanDan,70.68 (19),72.75 (19),79.05 (17),87.68 (19),78.78 (20),72.50 (19),33.34 (19),
191038,lj,67.68 (20),76.31 (17),80.99 (15),88.47 (14),82.06 (15),78.25 (16),0.00 (21),
191359,iwy15813,49.77 (21),54.48 (20),51.36 (19),52.79 (21),49.62 (21),52.36 (20),38.03 (17),
293577,S_13,42.71 (22),46.87 (21),56.17 (18),62.12 (20),45.70 (22),34.63 (21),10.79 (20),
180127,sfsdgdgw,0.00 (23),0.00 (22),0.00 (20),0.00 (22),0.01 (23),0.00 (22),0.00 (21),
