submission_pk,User,b'Style transfer accuracy',b'Meaning preservation',b'Fluency',b'Joint score',b'ChrF1'
491265,jaroslav_bologov,0.94 (8),0.88 (3),0.95 (1),0.79 (1),0.54 (78),
457884,ex_lex,0.97 (2),0.83 (15),0.92 (7),0.75 (2),0.56 (39),
439732,vlasovroman,0.92 (18),0.85 (5),0.93 (3),0.74 (3),0.56 (41),
416559,jack.golokhov,0.94 (6),0.84 (8),0.92 (11),0.73 (4),0.56 (42),
410220,smekur,0.91 (20),0.87 (4),0.92 (10),0.73 (5),0.57 (27),
393425,v-yurchenko,0.93 (17),0.84 (10),0.92 (5),0.73 (6),0.55 (61),
446246,chomsky,0.94 (9),0.82 (49),0.94 (2),0.72 (7),0.57 (34),
410194,pam4ek,0.93 (13),0.83 (14),0.92 (8),0.72 (8),0.57 (35),
443192,mr6one,0.94 (10),0.83 (16),0.92 (9),0.72 (9),0.56 (37),
412065,dmitrykoptsov,0.93 (15),0.82 (33),0.91 (12),0.70 (10),0.56 (40),
157106,Shkarin,0.94 (7),0.82 (50),0.91 (13),0.70 (11),0.56 (58),
409904,andreisun,0.94 (12),0.82 (41),0.90 (15),0.70 (12),0.56 (56),
442181,PerelyginEgor,0.95 (5),0.81 (62),0.90 (17),0.69 (13),0.56 (48),
283380,ZAU,0.92 (19),0.80 (78),0.92 (6),0.68 (14),0.54 (79),
427174,erdzhemadinov,0.93 (16),0.80 (75),0.90 (16),0.67 (15),0.54 (85),
288329,Alexander_Serebrennikov,0.91 (21),0.80 (80),0.92 (4),0.67 (16),0.54 (77),
446245,aayugay99,0.94 (11),0.80 (88),0.90 (18),0.67 (17),0.52 (102),
441017,stas,0.93 (14),0.80 (76),0.89 (19),0.66 (18),0.56 (49),
442610,zaaabik,0.88 (24),0.82 (38),0.87 (21),0.65 (19),0.56 (50),
442245,exxxplainer,0.83 (34),0.83 (22),0.87 (25),0.60 (20),0.57 (29),
157181,AleksRezv,0.84 (29),0.82 (40),0.87 (22),0.60 (21),0.51 (109),
441196,zhilnikova,0.83 (31),0.82 (48),0.86 (31),0.60 (22),0.58 (2),
409336,aayurovskikh,0.91 (22),0.81 (57),0.80 (102),0.60 (23),0.56 (55),
447864,art-bash,0.81 (46),0.82 (34),0.86 (29),0.59 (24),0.57 (17),
287866,igvartem,0.80 (62),0.83 (18),0.86 (32),0.58 (25),0.57 (12),
443421,Emalk,0.76 (104),0.84 (11),0.91 (14),0.58 (26),0.56 (53),
289885,mgp,0.95 (3),0.77 (109),0.76 (118),0.58 (27),0.51 (111),
445757,isaf27,0.76 (98),0.84 (6),0.88 (20),0.57 (28),0.57 (4),
156838,dariaip,0.85 (28),0.79 (97),0.85 (35),0.57 (29),0.51 (112),
288892,orion0555,0.82 (40),0.81 (56),0.83 (56),0.57 (30),0.57 (8),
410304,sand,0.79 (75),0.82 (47),0.85 (33),0.57 (31),0.57 (23),
442190,kisialiou,0.81 (51),0.82 (45),0.84 (44),0.57 (32),0.57 (11),
449996,MarcoOffidani,0.95 (4),0.72 (122),0.82 (69),0.57 (33),0.48 (119),
445631,alexander_stepikin,0.81 (58),0.82 (39),0.84 (41),0.57 (34),0.57 (24),
447123,rediska,0.80 (67),0.83 (20),0.84 (40),0.57 (35),0.57 (9),
289913,elias,0.82 (41),0.81 (58),0.83 (55),0.56 (36),0.57 (14),
441263,wkpn,0.81 (53),0.84 (12),0.82 (67),0.56 (37),0.56 (43),
446241,nmorozov22,0.80 (73),0.83 (21),0.84 (39),0.56 (38),0.57 (7),
410742,anton_srk,0.81 (57),0.81 (59),0.84 (37),0.56 (39),0.56 (44),
296111,ugeorge,0.81 (48),0.80 (64),0.84 (53),0.56 (40),0.57 (26),
442498,Bari,0.80 (71),0.83 (26),0.84 (48),0.56 (41),0.57 (19),
288538,Aleksandr,0.80 (71),0.83 (26),0.84 (48),0.56 (41),0.57 (19),
436495,a.makhin,0.80 (68),0.83 (29),0.84 (49),0.56 (42),0.57 (20),
436704,sudarut,0.80 (68),0.83 (29),0.84 (49),0.56 (42),0.57 (20),
410572,Tagart,0.80 (68),0.83 (29),0.84 (49),0.56 (42),0.57 (20),
439339,UyenVo,0.79 (74),0.83 (24),0.84 (47),0.56 (43),0.57 (13),
157275,liuda.tarusina,0.80 (70),0.83 (27),0.84 (50),0.56 (44),0.57 (18),
156820,SergeyDes,0.80 (70),0.83 (27),0.84 (50),0.56 (44),0.57 (18),
405168,lainer991,0.80 (69),0.83 (28),0.84 (51),0.56 (45),0.57 (18),
292840,esushinskii,0.81 (54),0.81 (55),0.83 (57),0.56 (46),0.57 (21),
411563,Evgeny_Bogdanov,0.77 (95),0.83 (19),0.87 (23),0.56 (47),0.58 (3),
289689,AndreyProkhorov,0.79 (79),0.82 (32),0.84 (43),0.56 (48),0.57 (10),
288260,kurdym,0.82 (37),0.80 (71),0.83 (60),0.55 (49),0.55 (67),
157335,Alexander_I,0.80 (72),0.81 (51),0.84 (54),0.55 (50),0.57 (25),
289180,sunamur0,0.80 (66),0.80 (65),0.84 (46),0.55 (51),0.57 (32),
437896,makovka,0.88 (23),0.76 (112),0.82 (75),0.55 (52),0.50 (115),
407940,KirillKuznetsov,0.79 (81),0.80 (81),0.87 (24),0.55 (53),0.55 (70),
154764,Alexader,0.79 (78),0.82 (35),0.83 (61),0.55 (54),0.57 (15),
444663,Mat_Skr,0.76 (100),0.83 (25),0.86 (28),0.55 (55),0.57 (28),
286634,dporoh,0.82 (45),0.80 (82),0.82 (68),0.55 (56),0.55 (71),
444671,notawhale,0.78 (89),0.80 (67),0.86 (26),0.55 (57),0.54 (73),
289220,gurind,0.79 (77),0.81 (61),0.84 (52),0.54 (58),0.57 (30),
442713,assign,0.75 (105),0.82 (37),0.86 (27),0.54 (59),0.56 (59),
289074,shitkov,0.87 (25),0.76 (113),0.79 (107),0.54 (60),0.52 (106),
426266,Vir_Ven,0.82 (43),0.78 (101),0.82 (65),0.54 (61),0.54 (87),
289445,kovaleva.oa,0.80 (63),0.78 (106),0.84 (38),0.54 (62),0.51 (110),
438146,Nuzhnov_Mark,0.81 (49),0.79 (94),0.82 (66),0.53 (63),0.54 (75),
293062,Slidersin,0.81 (50),0.80 (85),0.81 (82),0.53 (64),0.55 (68),
291270,yaroslav_kutuzov,0.81 (50),0.80 (85),0.81 (82),0.53 (64),0.55 (68),
426281,niksukhorukov,0.78 (86),0.80 (63),0.83 (58),0.53 (65),0.54 (81),
156740,gleb_zherr,0.80 (60),0.80 (73),0.82 (77),0.53 (66),0.55 (63),
156691,TumanovGA,0.81 (56),0.79 (93),0.82 (72),0.53 (67),0.56 (52),
156744,RaveNHol,0.83 (32),0.78 (104),0.80 (95),0.53 (68),0.52 (104),
435233,_twinkle_,0.82 (36),0.78 (103),0.81 (79),0.53 (69),0.53 (94),
442414,Nick,0.78 (88),0.82 (44),0.82 (64),0.53 (70),0.56 (38),
440842,toxicmopsic,0.76 (103),0.80 (72),0.86 (30),0.53 (71),0.55 (65),
442602,nlp_user,0.82 (42),0.80 (87),0.80 (92),0.53 (72),0.55 (64),
262939,Insafq,0.81 (52),0.80 (79),0.81 (89),0.53 (73),0.54 (82),
411896,norekhov,0.80 (59),0.79 (90),0.81 (83),0.53 (74),0.54 (80),
288519,konstantinator,0.79 (82),0.81 (52),0.81 (78),0.53 (75),0.56 (54),
433536,TOOFACK,0.78 (83),0.82 (42),0.82 (74),0.53 (76),0.57 (22),
400914,Alexei,0.80 (64),0.80 (84),0.82 (71),0.53 (77),0.54 (84),
289340,Dast,0.85 (27),0.75 (114),0.80 (93),0.53 (78),0.48 (117),
157157,tesag90651,0.80 (65),0.79 (92),0.81 (84),0.52 (79),0.57 (33),
437597,knowledge,0.83 (33),0.79 (99),0.77 (116),0.52 (80),0.56 (57),
282723,Mariia_Sosnovskaya,0.79 (80),0.80 (83),0.80 (91),0.52 (81),0.54 (74),
290134,yaKate,0.76 (96),0.82 (46),0.82 (76),0.51 (82),0.56 (36),
289274,Lokrizz,0.82 (44),0.77 (108),0.80 (100),0.51 (83),0.54 (88),
425429,Mekan,0.78 (85),0.80 (69),0.80 (97),0.51 (84),0.55 (69),
441049,IvanGurev,0.75 (107),0.83 (30),0.81 (81),0.51 (85),0.57 (31),
155575,DanilaM,0.85 (26),0.71 (123),0.80 (96),0.50 (86),0.47 (120),
411281,albloodless,0.72 (115),0.84 (7),0.83 (62),0.50 (87),0.55 (62),
287379,EvgenyKH,0.82 (35),0.75 (117),0.81 (86),0.50 (88),0.46 (121),
289256,alexander.khan,0.74 (109),0.83 (23),0.81 (87),0.50 (89),0.56 (47),
289317,eglamozdina,0.77 (92),0.79 (91),0.81 (85),0.50 (90),0.53 (100),
157338,Mikhail.Yatskov,0.82 (39),0.75 (116),0.78 (112),0.50 (91),0.51 (114),
411575,zoya_osipova,0.75 (106),0.81 (60),0.80 (98),0.49 (92),0.54 (76),
288524,kalinin_vladimir,0.75 (108),0.81 (53),0.80 (101),0.49 (93),0.57 (16),
406820,russkikhsv,0.76 (101),0.80 (74),0.82 (73),0.49 (94),0.54 (90),
447040,LA,0.77 (91),0.78 (102),0.81 (90),0.49 (95),0.53 (101),
289571,Rostislav_Korst,0.76 (102),0.78 (105),0.83 (59),0.49 (96),0.57 (5),
444934,katyanaveka,0.77 (94),0.80 (68),0.79 (105),0.49 (97),0.53 (98),
