submission_pk,User,b'Completion',b'Time',b'Humanness',b'Rules'
224446,super_garfield,0.2444 (1),385.4311 (1),8161.2425 (16),1.0319 (12),
225883,yuant426,0.3127 (2),467.3014 (4),4292.0209 (12),16.9594 (17),
225814,AID_Zhiyu,0.3250 (3),386.4345 (2),641.8553 (4),0.4278 (10),
225991,haochen,0.3400 (4),392.6956 (3),276.0247 (2),0.2715 (9),
216770,Zibin_Dong,0.3663 (5),484.5126 (5),1111.0136 (8),1.2424 (13),
224026,Zzy,0.5801 (6),641.3997 (6),5148.3395 (13),3.0786 (15),
225811,sunjingbo,0.6229 (7),656.6720 (7),952.7513 (6),0.1464 (8),
223972,xingfang,0.6309 (8),670.5018 (9),2653.2505 (11),0.0633 (5),
224040,CASIA_DRL,0.6329 (9),667.3720 (8),5502.2647 (14),5.9260 (16),
224407,Jayden1998,0.6407 (10),757.2907 (15),1481.8842 (9),0.1395 (6),
224484,chenyanbo,0.6543 (11),726.6847 (13),718.2263 (5),0.0060 (2),
200698,adai,0.6686 (12),728.0864 (14),1048.7125 (7),0.0232 (3),
202628,Durgesh,0.6872 (13),792.6851 (16),6304.6111 (15),0.4567 (11),
224001,lumist,0.7039 (14),719.9968 (12),24426.7597 (19),2.3882 (14),
225509,weiai,0.7084 (15),690.6189 (10),16351.2160 (17),31.8150 (19),
224033,My_Code,0.7278 (16),714.3605 (11),20721.4565 (18),18.9604 (18),
207711,idlecoder,0.7877 (17),857.9503 (18),2022.7591 (10),0.1432 (7),
225306,WaSiri,0.8021 (18),827.6444 (17),152.9173 (1),0.0346 (4),
225344,GuoFuYanBIt,1.0000 (19),1047.5178 (19),373.7402 (3),0.0049 (1),
