submission_pk,User,b'Avg. of static/dynamic rank',b'Avg. overall cost',b'Avg. static cost',b'Avg. dynamic cost',b'Score (rank)'
217965,Kleopatra,1.0 (1),336926.00 (1),260845.00 (2),413007.00 (1),1.0 (1),
217766,NWouda,2.0 (2),342401.50 (2),262687.00 (5),422116.00 (2),2.0 (2),
218037,HowToRoute,3.5 (3),343909.00 (3),260481.00 (1),427337.00 (4),3.5 (3),
218874,team_sb,3.5 (4),346339.00 (4),265381.00 (8),427297.00 (3),3.5 (4),
212162,quickest_route,5.5 (5),349876.00 (5),264106.00 (6),435646.00 (6),5.5 (5),
215224,mtgbws,5.5 (6),350677.00 (6),270322.00 (24),431032.00 (5),5.5 (6),
218893,kirchhoffslaw,7.0 (7),352887.00 (7),261236.00 (3),444538.00 (7),7.0 (7),
219014,pumpkins,8.0 (8),357079.50 (8),267960.00 (15),446199.00 (8),8.0 (8),
218424,HustSmart,9.5 (9),357877.50 (9),266493.00 (12),449262.00 (10),9.5 (9),
194649,hq,9.5 (10),359029.50 (10),269973.00 (22),448086.00 (9),9.5 (10),
219958,rmahes,12.0 (11),359059.50 (11),266493.00 (12),451626.00 (13),12.0 (11),
217797,ChiZhang,12.5 (12),359499.50 (13),268805.00 (19),450194.00 (12),12.5 (12),
209214,little_snow_ball,12.5 (13),359575.00 (14),269456.00 (20),449694.00 (11),12.5 (13),
190920,fnssm,13.5 (14),359351.00 (12),265418.00 (9),453284.00 (15),13.5 (14),
219500,adith387,14.5 (15),359882.00 (15),266936.00 (13),452828.00 (14),14.5 (15),
176927,wenminggong,16.0 (16),359945.00 (16),266493.00 (12),453397.00 (16),16.0 (16),
187851,ora,17.0 (17),361083.50 (17),266493.00 (12),455674.00 (17),17.0 (17),
170609,WFI,18.0 (18),361128.50 (18),266493.00 (12),455764.00 (18),18.0 (18),
218649,ghannam,19.5 (19),362896.00 (19),268207.00 (16),457585.00 (20),19.5 (19),
216678,YanJIN,20.5 (20),365002.50 (20),267708.00 (14),462297.00 (21),20.5 (20),
168203,lamy,21.5 (21),369914.50 (21),266493.00 (12),473336.00 (22),21.5 (21),
233336,wkortec,24.0 (22),371981.00 (24),266240.00 (11),477722.00 (24),24.0 (22),
219316,johnao,24.5 (23),370269.00 (22),262664.00 (4),477874.00 (27),24.5 (23),
171286,Andry,25.5 (24),371356.00 (23),264703.00 (7),478009.00 (28),25.5 (24),
179478,learning4route,25.5 (25),372179.50 (25),266493.00 (12),477866.00 (26),25.5 (25),
165209,feiyacz,25.5 (25),372179.50 (25),266493.00 (12),477866.00 (26),25.5 (25),
161592,tcatshoek,25.5 (25),372179.50 (25),266493.00 (12),477866.00 (26),25.5 (25),
193472,FeiLIU,25.5 (26),372534.00 (28),269973.00 (22),475095.00 (23),25.5 (26),
216720,FHildebrandt,27.0 (27),373189.00 (29),268601.00 (18),477777.00 (25),27.0 (27),
181196,HUST,28.0 (28),372293.50 (27),266493.00 (12),478094.00 (29),28.0 (28),
164912,vrp_greedy_baseline,28.0 (28),372293.50 (27),266493.00 (12),478094.00 (29),28.0 (28),
219283,Aldin,29.5 (29),372208.00 (26),266041.00 (10),478375.00 (33),29.5 (29),
219097,inboxedshoe,30.0 (30),500228695.50 (41),1000000000.00 (25),457391.00 (19),30.0 (30),
220305,TM,30.5 (31),373469.00 (31),268805.00 (19),478133.00 (30),30.5 (31),
202580,Wang_Feilong,31.0 (32),373424.00 (30),268487.00 (17),478361.00 (32),31.0 (32),
200753,VeRSA,32.0 (33),374199.50 (33),270136.00 (23),478263.00 (31),32.0 (33),
214471,chandler,33.0 (34),374127.50 (32),268805.00 (19),479450.00 (34),33.0 (34),
165890,mj,35.0 (35),378478.00 (34),266493.00 (12),490463.00 (36),35.0 (35),
201995,wangzhiqi,35.0 (36),379099.00 (35),268805.00 (19),489393.00 (35),35.0 (36),
162668,vrp_random_baseline,36.5 (37),392507.00 (36),266493.00 (12),518521.00 (37),36.5 (37),
178410,vrp_rl_baseline,37.5 (38),410180.00 (37),266493.00 (12),553867.00 (38),37.5 (38),
178704,vrp_sl_baseline,38.5 (39),414856.50 (38),266493.00 (12),563220.00 (39),38.5 (39),
161293,vrp_lazy_baseline,39.5 (40),445978.50 (39),266493.00 (12),625464.00 (40),39.5 (40),
218483,peterd,40.5 (41),500134857.00 (40),269714.00 (21),1000000000.00 (41),40.5 (41),
218986,coderding,41.5 (42),1000000000.00 (42),1000000000.00 (25),1000000000.00 (41),41.5 (42),
194273,raritan,41.5 (42),1000000000.00 (42),1000000000.00 (25),1000000000.00 (41),41.5 (42),
178158,oldfriend,41.5 (42),1000000000.00 (42),1000000000.00 (25),1000000000.00 (41),41.5 (42),
166600,KKA,41.5 (42),1000000000.00 (42),1000000000.00 (25),1000000000.00 (41),41.5 (42),
166598,shooter6,41.5 (42),1000000000.00 (42),1000000000.00 (25),1000000000.00 (41),41.5 (42),
