submission_pk,User,b'Sum',b'AR-agnostic-corner',b'AR-agnostic',b'AP-agnostic',b'AP-common'
191090,gavin,2.51 (1),0.54 (9),0.74 (10),0.63 (10),0.61 (8),
489789,Ether,2.43 (2),0.56 (10),0.67 (9),0.58 (9),0.62 (9),
196392,wzmw-zr,1.82 (3),0.16 (3),0.54 (7),0.45 (8),0.67 (10),
194208,haooooooo,1.63 (4),0.33 (8),0.55 (8),0.41 (6),0.34 (7),
196548,WesleyZhang,1.41 (5),0.20 (6),0.48 (6),0.44 (7),0.30 (5),
490230,MIngyuLiu,1.32 (6),0.18 (5),0.45 (5),0.40 (5),0.30 (6),
400541,y13210021,1.29 (7),0.17 (4),0.44 (4),0.39 (4),0.29 (4),
384609,zhaosi,0.87 (8),0.25 (7),0.34 (3),0.18 (3),0.10 (3),
191366,tiruns,0.28 (9),0.11 (2),0.12 (2),0.04 (2),0.02 (2),
195591,Itachi,0.01 (10),0.00 (1),0.00 (1),0.00 (1),0.00 (1),
