submission_pk,User,b'mIoU',b'Accuracy',b'AUROC'
209720,gebreawe,0.735 (1),0.928 (2),0.843 (1),
208579,lidartp,0.727 (2),0.920 (3),0.477 (6),
208723,ppq,0.726 (3),0.917 (5),0.585 (3),
208892,pointcloud63,0.721 (4),0.918 (4),0.585 (4),
208526,zqy,0.697 (5),0.974 (1),0.500 (5),
167357,DuKong,0.635 (6),0.907 (6),0.786 (2),
208710,whudailei,0.605 (7),0.896 (7),0.500 (5),
163053,ZainYao,0.035 (8),0.000 (8),0.500 (5),
submission_pk,User,b'Car',b'Sign',b'Trunk',b'Plants',b'Pole',b'Fence',b'Building',b'Bike',b'Road'
208892,pointcloud63,0.926 (1),0.603 (4),0.572 (4),0.859 (4),0.675 (3),0.582 (3),0.792 (2),0.514 (4),0.965 (4),
208723,ppq,0.924 (2),0.600 (5),0.594 (2),0.859 (5),0.681 (1),0.581 (4),0.789 (3),0.542 (2),0.965 (3),
208526,zqy,0.906 (3),0.629 (3),0.580 (3),0.860 (3),0.605 (5),0.550 (6),0.759 (7),0.423 (5),0.962 (5),
208579,lidartp,0.888 (4),0.641 (2),0.570 (5),0.869 (2),0.660 (4),0.606 (2),0.784 (5),0.554 (1),0.967 (2),
209720,gebreawe,0.861 (5),0.642 (1),0.600 (1),0.887 (1),0.677 (2),0.635 (1),0.810 (1),0.539 (3),0.968 (1),
167357,DuKong,0.809 (6),0.424 (7),0.486 (6),0.839 (6),0.521 (7),0.572 (5),0.789 (4),0.332 (6),0.946 (6),
208710,whudailei,0.804 (7),0.464 (6),0.474 (7),0.817 (7),0.528 (6),0.542 (7),0.769 (6),0.107 (7),0.944 (7),
163053,ZainYao,0.018 (8),0.001 (8),0.003 (8),0.084 (8),0.004 (8),0.056 (8),0.067 (8),0.000 (8),0.084 (8),
submission_pk,User,b'Car',b'Sign',b'Trunk',b'Plants',b'Pole',b'Fence',b'Building',b'Bike',b'Road'
167357,DuKong,0.813 (1),0.593 (3),0.766 (2),0.756 (2),0.884 (2),0.766 (1),0.939 (2),0.430 (6),0.936 (1),
209720,gebreawe,0.765 (2),0.958 (2),0.920 (1),0.924 (1),0.986 (1),0.754 (2),0.958 (1),0.765 (1),0.923 (2),
208892,pointcloud63,0.547 (3),1.000 (1),0.494 (6),0.647 (4),0.754 (3),0.546 (4),0.774 (3),0.580 (2),0.633 (4),
208723,ppq,0.546 (4),1.000 (1),0.518 (3),0.655 (3),0.713 (4),0.547 (3),0.757 (4),0.577 (3),0.635 (3),
208710,whudailei,0.500 (5),0.500 (4),0.500 (5),0.500 (5),0.500 (5),0.500 (5),0.500 (5),0.500 (4),0.500 (6),
208526,zqy,0.500 (5),0.500 (4),0.500 (5),0.500 (5),0.500 (5),0.500 (5),0.500 (5),0.500 (4),0.500 (6),
163053,ZainYao,0.500 (5),0.500 (4),0.500 (5),0.500 (5),0.500 (5),0.500 (5),0.500 (5),0.500 (4),0.500 (6),
208579,lidartp,0.483 (6),1.000 (1),0.500 (4),0.472 (6),0.451 (6),0.497 (6),0.464 (6),0.491 (5),0.504 (5),
