submission_pk,User,b'OOD-TOP-1',b'IID-TOP-1',b'OOD-shape-TOP-1',b'OOD-pose-TOP-1',b'OOD-context-TOP-1',b'OOD-texture-TOP-1',b'OOD-occlusion-TOP-1',b'OOD-weather-TOP-1'
186507,vtddggg,0.9265 (1),0.9103 (3),0.8603 (4),0.9116 (3),0.9436 (1),0.9646 (3),0.9190 (2),0.9599 (1),
186765,daxiangfei,0.9167 (2),0.9075 (5),0.8552 (5),0.9079 (5),0.8959 (3),0.9664 (2),0.9316 (1),0.9429 (2),
179438,Abner,0.8994 (3),0.9110 (1),0.8410 (11),0.9042 (6),0.8942 (4),0.9664 (2),0.8529 (3),0.9377 (3),
187107,USTC-IAT-United,0.8941 (4),0.9023 (9),0.8502 (8),0.8921 (8),0.8730 (8),0.9752 (1),0.8505 (4),0.9236 (6),
182789,ecnu-dmcv,0.8901 (5),0.9106 (2),0.8522 (6),0.8874 (10),0.9242 (2),0.9381 (5),0.8046 (9),0.9340 (4),
165372,vvikash,0.8866 (6),0.9046 (8),0.8685 (2),0.9209 (1),0.8642 (10),0.9204 (8),0.8257 (7),0.9199 (8),
179066,djdllmj,0.8830 (7),0.8687 (15),0.8369 (12),0.9163 (2),0.8959 (3),0.9062 (10),0.8500 (5),0.8924 (11),
170842,g_xyz,0.8823 (8),0.9099 (4),0.8654 (3),0.9005 (7),0.8818 (5),0.9310 (6),0.7851 (10),0.9303 (5),
179647,sung0,0.8808 (9),0.8840 (10),0.8512 (7),0.8837 (11),0.8783 (7),0.9416 (4),0.8325 (6),0.8976 (10),
172087,wooks527,0.8784 (10),0.9066 (6),0.8471 (9),0.8902 (9),0.8695 (9),0.9310 (6),0.8097 (8),0.9228 (7),
186892,mmmmimic,0.8737 (11),0.8805 (13),0.8919 (1),0.9098 (4),0.8801 (6),0.9186 (9),0.7737 (11),0.8680 (12),
176431,ruipengzhang,0.8710 (12),0.9060 (7),0.8461 (10),0.9042 (6),0.8642 (10),0.9239 (7),0.7705 (12),0.9169 (9),
179095,GuDeMan,0.8138 (13),0.8811 (11),0.8338 (13),0.8874 (10),0.7884 (11),0.8460 (12),0.7392 (13),0.7878 (14),
174798,jcwu,0.7837 (14),0.8809 (12),0.7920 (14),0.8698 (12),0.7884 (11),0.8673 (11),0.5915 (14),0.7930 (13),
164864,jiangc_c,0.7704 (15),0.8741 (14),0.7788 (15),0.8586 (13),0.7848 (12),0.8460 (12),0.5878 (15),0.7663 (15),
165093,ambershek,0.1294 (16),0.0810 (17),0.1244 (16),0.1488 (14),0.0688 (14),0.0708 (14),0.1943 (16),0.1691 (16),
167385,wujiekd,0.1103 (17),0.1803 (16),0.0938 (17),0.0484 (15),0.1252 (13),0.2124 (13),0.0587 (17),0.1231 (17),
166864,chlwogus,0.1103 (17),0.1803 (16),0.0938 (17),0.0484 (15),0.1252 (13),0.2124 (13),0.0587 (17),0.1231 (17),
163465,ROBIN,0.1103 (17),0.1803 (16),0.0938 (17),0.0484 (15),0.1252 (13),0.2124 (13),0.0587 (17),0.1231 (17),
