submission_pk,User,b'< Rank >',b'Spearman r',b'Pearson r',b'RMSE',b'MAE',b'Disk Footprint (Bytes)',b'Model Params'
168795,gengxiang,5.12 (3),0.6347 (1),0.6298 (2),0.8382 (3),0.5942 (8),3264730349.0 (12),560145557.0 (6),
168852,BJTU,3.52 (1),0.6214 (2),0.6107 (3),0.8182 (2),0.5445 (5),2239711849.0 (5),559893507.0 (5),
167962,pu_nlp,6.40 (7),0.6110 (3),0.5399 (6),0.9968 (12),0.7156 (11),1326455799.0 (4),237846178.0 (4),
167666,papago,5.92 (5),0.5815 (4),0.5293 (7),0.9061 (7),0.5562 (6),2243044839.0 (6),560713447.0 (7),
167729,IST-Unbabel,5.28 (4),0.5607 (5),0.5902 (4),0.8542 (4),0.5211 (2),2260743851.0 (8),565139485.0 (10),
168846,Vulcan,4.00 (2),0.5504 (6),0.6611 (1),0.7693 (1),0.4664 (1),2260733079.0 (7),565137999.0 (9),
167332,hui,7.36 (9),0.5011 (7),0.5016 (9),0.8692 (5),0.5384 (4),2277517335.0 (9),596639744.0 (12),
168725,lp_sunny,7.04 (8),0.4946 (8),0.5540 (5),0.8750 (6),0.5336 (3),2356736392.0 (11),580792183.0 (11),
168054,Abulice,6.08 (6),0.4939 (9),0.5079 (8),0.9532 (8),0.6115 (9),470693617.0 (2),117653760.0 (2),
166622,OrganizersBaselines,8.64 (12),0.4548 (10),0.4235 (10),0.9703 (9),0.5760 (7),2280011066.0 (10),564527011.0 (8),
167591,ahmetgunduz,7.52 (10),0.3760 (11),0.3511 (11),0.9950 (11),0.7470 (12),368857948.0 (1),12345.0 (1),
262536,zouharvi,8.00 (11),0.1863 (12),0.1834 (12),0.9931 (10),0.7070 (10),711807977.0 (3),177974523.0 (3),
