submission_pk,User,b'MR mAP',b'HL mAP (VG)',b'HL Hit@1 (VG)'
346750,Kevinlin,43.63 (2),40.54 (1),66.28 (1),
465025,Lonicerin,41.03 (7),40.02 (2),64.53 (2),
460830,Jin_Yang,42.79 (3),39.83 (4),64.40 (3),
474258,chickencaesar,39.63 (13),39.60 (5),63.88 (4),
474483,ynyn5300,38.69 (15),38.44 (11),63.29 (5),
225268,vclab,40.03 (11),39.11 (7),63.23 (6),
490719,Eason_888,41.41 (5),39.43 (6),62.97 (7),
467022,linxt,39.99 (12),39.92 (3),62.91 (8),
178975,tangxiaochu,38.11 (17),39.11 (7),62.32 (9),
463483,hpppppp,40.24 (10),38.67 (9),61.93 (10),
461534,VASLab,40.92 (8),38.60 (10),61.15 (11),
225279,yeliudev,38.20 (16),38.88 (8),60.89 (12),
485768,gc090,39.33 (14),37.50 (12),58.30 (13),
439787,mjjung,35.73 (18),36.16 (13),55.77 (14),
379958,tyyy,40.91 (9),11.09 (14),14.92 (15),
473233,yilun,43.79 (1),- (15),- (16),
377792,wilsontsang,42.06 (4),- (15),- (16),
316401,vin30731,41.24 (6),- (15),- (16),
