submission_pk,User,b'MAIN_SYS_SRCC',b'MAIN_UTT_MSE',b'MAIN_UTT_SRCC',b'MAIN_SYS_MSE',b'OOD_SYS_SRCC',b'OOD_UTT_MSE',b'OOD_UTT_SRCC',b'OOD_SYS_MSE'
48809,jiameng,0.959 (1),0.302 (15),0.878 (11),0.198 (16),0.970 (1),0.262 (7),0.804 (1),0.069 (4),
48939,weichengtseng,0.959 (2),0.316 (16),0.896 (3),0.238 (18),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
47255,shinnosuke,0.958 (3),0.235 (9),0.889 (6),0.142 (14),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
50785,matousek,0.957 (4),0.154 (1),0.901 (2),0.066 (2),0.892 (6),0.151 (1),0.766 (5),0.065 (2),
50488,listen,0.952 (5),0.167 (3),0.902 (1),0.087 (5),0.879 (8),0.169 (2),0.783 (3),0.056 (1),
49482,Adrianastan,0.951 (6),0.182 (5),0.883 (8),0.067 (3),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
50124,smartlab,0.950 (7),0.164 (2),0.895 (4),0.065 (1),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
48889,readspeaker,0.949 (8),0.294 (14),0.882 (9),0.212 (17),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
45829,liangzc,0.947 (9),0.191 (6),0.890 (5),0.105 (8),0.906 (4),0.234 (5),0.777 (4),0.069 (3),
50450,tonyoki,0.946 (10),0.177 (4),0.886 (7),0.078 (4),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
50327,zxk,0.943 (11),0.266 (12),0.839 (17),0.095 (7),0.870 (9),0.231 (4),0.738 (6),0.174 (10),
48094,ytachioka,0.940 (12),0.240 (10),0.864 (15),0.128 (13),0.445 (11),2.514 (11),0.286 (11),2.894 (11),
47330,hearing,0.929 (13),0.206 (7),0.864 (14),0.092 (6),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
48184,dmx,0.929 (14),0.414 (20),0.878 (10),0.362 (21),0.884 (7),0.266 (8),0.726 (7),0.096 (6),
50788,mchinen,0.929 (15),0.325 (19),0.871 (12),0.255 (20),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
47564,DKU,0.929 (15),0.325 (19),0.871 (12),0.255 (20),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
20330,ecooper,0.929 (15),0.325 (19),0.871 (12),0.255 (20),0.932 (2),0.271 (9),0.786 (2),0.102 (7),
40061,Knakazawa,0.929 (16),0.325 (18),0.871 (13),0.255 (19),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
36817,xiaohaitian,0.928 (17),0.220 (8),0.856 (16),0.108 (10),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
44692,Kai_Li,0.921 (18),0.262 (11),0.832 (18),0.106 (9),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
29528,ryandhimas,0.919 (19),0.271 (13),0.821 (19),0.113 (12),0.900 (5),0.212 (3),0.716 (8),0.089 (5),
44787,wenchinhuang,0.918 (20),0.318 (17),0.787 (20),0.110 (11),0.931 (3),0.250 (6),0.665 (10),0.137 (8),
50419,koer,0.881 (21),0.421 (21),0.701 (22),0.175 (15),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
50802,pmanocha,0.849 (22),0.592 (22),0.708 (21),0.408 (22),0.853 (10),0.271 (10),0.711 (9),0.156 (9),
46482,SaiSirishar,0.550 (23),0.669 (23),0.450 (23),0.515 (23),0.000 (12),100.000 (12),0.000 (12),100.000 (12),
