submission_pk,User,b'Macro F1'
309707,kappako,0.7793 (1),
295252,Fadi,0.7789 (2),
295063,PALI,0.7599 (3),
289646,stce,0.7595 (4),
310517,lnb,0.7590 (5),
274463,corner,0.7565 (6),
299797,hpl,0.7505 (7),
307354,wxd,0.7409 (8),
306760,christiechris,0.7402 (9),
301453,just_one,0.7301 (10),
275477,akshaylive,0.7266 (11),
291571,hahaheihei,0.7231 (12),
299177,Sana,0.7202 (13),
310667,manaslfc,0.7192 (14),
303331,prabhakar267,0.7184 (15),
291293,Abdelkader,0.7109 (16),
310390,doaa_obeidat,0.7009 (17),
309343,jagol,0.6975 (18),
301583,JoseAGD,0.6928 (19),
310382,Nammas,0.6905 (20),
256524,Chride,0.6894 (21),
308222,kdchernyshev,0.6881 (22),
267610,tharindu,0.6792 (23),
307825,Adam-H,0.6736 (24),
324122,debashish.roy,0.6700 (25),
310019,nilsvisser,0.6617 (26),
302862,sr26,0.6593 (27),
297710,I2C_Huelva,0.6507 (28),
298456,wfeely,0.6473 (29),
301572,I2C-HUELVA_G2,0.6467 (30),
303990,sandeeppandey456,0.6466 (31),
240223,MstPhoenix,0.6405 (32),
290835,ariannamuti,0.6387 (33),
297740,tanusreenath,0.6382 (34),
309136,aakashgoel12,0.6351 (35),
288523,tiKsyami,0.6350 (36),
310208,yesyes,0.6329 (37),
291970,Mano,0.6322 (38),
197502,fantasticmid,0.6321 (39),
309086,aaronw,0.6281 (40),
290003,AdamR,0.6257 (41),
299033,Marufa_kamal,0.6255 (42),
309773,S_Ab,0.6253 (43),
266541,amber-ch,0.6120 (44),
303345,roaa99mamoun,0.6109 (45),
280831,lhk15,0.6054 (46),
306542,Akriel,0.6028 (47),
279816,vitthal,0.6012 (48),
270310,abumafrim,0.5987 (49),
285247,devorein,0.5954 (50),
301509,shimig,0.5805 (51),
303507,pooja52141,0.5729 (52),
279165,andrei.p,0.5718 (53),
265016,adi1712,0.5562 (54),
264409,AmitDasRup,0.5459 (55),
278829,giere,0.5423 (56),
309568,SreeIN,0.5422 (57),
310163,Olha_Kaminska,0.5410 (58),
291180,elisa.leonardelli,0.5394 (59),
300516,p.nakwijit,0.5290 (60),
285646,Mohammed_TALEB,0.4868 (61),
284298,GQLupiB,0.4723 (62),
309744,Padma,0.4612 (63),
302383,advaitha,0.4158 (64),
285459,Walid23,0.4093 (65),
306219,PanwarJayant,0.4026 (66),
310488,marzinouri,0.3966 (67),
297399,marleneayala,0.2594 (68),
305032,Hjb,0.2387 (69),
303513,uid,0.1592 (70),
267097,gauravsingh,0.1592 (70),
309171,mahsa.amani,0.1545 (71),
