submission_pk,User,b'score'
199164,G2200495C,49.19612 (1),
200379,G2104442E,45.70720 (2),
197853,G2204052B,41.91036 (3),
195020,G2104637G,41.90963 (4),
200070,G2204022H,41.13610 (5),
199031,G2104426H,40.59288 (6),
199611,G2104548L,40.56451 (7),
198461,G2201895C,40.11052 (8),
201025,G2201194C,39.80310 (9),
199638,G2201021B,39.43519 (10),
200186,G2203477K,38.94627 (11),
200625,G2104699L,37.71102 (12),
198392,G2200935C,37.27931 (13),
193537,G2201382D,36.69642 (14),
198525,wang1753,36.59633 (15),
198875,G2104427E,35.92903 (16),
198651,G2104849C,35.74857 (17),
201216,G2204304A,35.63678 (18),
199271,G2104428B,35.56545 (19),
199560,G2202468F,35.55550 (20),
200974,G2200923L,35.38054 (21),
199479,G2201371J,35.27693 (22),
200947,G2104668J,34.76267 (23),
200079,G2201013J,34.59922 (24),
199265,ZhangYuanhan,34.39507 (25),
200250,Tourist,34.29498 (26),
195995,G2201824J,34.29256 (27),
201241,G2204074C,34.25897 (28),
194695,G2104850F,33.20786 (29),
196450,G2204170F,33.19380 (30),
200349,G2204321B,32.72686 (31),
207495,S220126,32.56153 (32),
201814,G2204155F,32.54968 (33),
200530,G2203952F,32.54412 (34),
197106,siyue,32.43100 (35),
198481,G2104441H,32.18126 (36),
201926,G2203857L,31.95938 (37),
195307,G2201540L,31.76248 (38),
196693,G2200706B,31.63082 (39),
199431,G2204096D,31.55975 (40),
200853,G2200552L,31.51659 (41),
196526,G2204045F,31.00071 (42),
200728,G2202437D,30.97409 (43),
199744,G2204168F,30.89474 (44),
198742,G2201488K,30.67818 (45),
197336,G2203858H,30.54685 (46),
201918,G2202925L,30.54488 (47),
199419,G2200911H,30.53814 (48),
200016,G2200989C,30.51730 (49),
199659,G2203647J,30.48548 (50),
200344,G2202456C,30.45758 (51),
199353,TRANTHEA001,30.37289 (52),
200304,G2203855F,30.32373 (53),
188811,G2100655H,30.27323 (54),
199768,G2201170H,30.25163 (55),
200824,G2202031C,30.18459 (56),
200888,G2104999F,30.00366 (57),
201068,n2207713K,29.91066 (58),
200526,G2204301K,29.78574 (59),
200866,G2104789D,29.56599 (60),
202330,G2204057J,29.43270 (61),
201838,G2104570G,29.18451 (62),
190610,G2202712G,28.93513 (63),
193349,G2202711K,28.84711 (64),
200858,G2101552G,28.62542 (65),
201037,G2104717B,28.14751 (66),
200438,G2201201K,27.94197 (67),
200437,G2104685C,27.92329 (68),
193222,G2203624L,27.89808 (69),
197744,G2104574F,27.89012 (70),
200877,teset_ce7454,27.80574 (71),
201043,ZHANG_YIXIAO,27.74147 (72),
201019,G2104553B,27.72658 (73),
198277,G2200925E,27.69359 (74),
199796,G2203852D,27.67895 (75),
198747,G2201590A,27.58500 (76),
200283,G2203645D,27.55914 (77),
196501,G2104967G,27.45658 (78),
200977,G2104584D,27.45132 (79),
200765,KETHMIHI001,27.37092 (80),
200794,G2104874A,27.33966 (81),
193521,G2104242A,27.26830 (82),
200399,G2104963H,27.15914 (83),
200465,G2104649K,27.10638 (84),
193925,G2203839J,27.10227 (85),
198935,ZONGRUILI,26.76971 (86),
200133,G2201627G,26.65882 (87),
200522,G2201347H,26.54146 (88),
197529,G2202082A,26.46379 (89),
199197,G2104638D,26.42356 (90),
193304,G2200513E,26.37911 (91),
198192,G2100643E,26.26106 (92),
186098,G2201800C,25.96016 (93),
197925,G2104443B,25.69012 (94),
198248,G2104619E,25.65214 (95),
196353,G2202458H,25.64762 (96),
200981,G2104629C,25.53729 (97),
200247,G2104858D,25.45142 (98),
201284,G2201631A,25.27514 (99),
200189,G2104608K,25.21927 (100),
199716,XlRocket,24.90618 (101),
201819,G2105028H,24.72854 (102),
198368,G2203870F,24.52633 (103),
198365,test_for_CE7454,24.52633 (103),
200207,n2207717j,24.46322 (104),
201261,G2201388H,24.40176 (105),
200213,G2104687H,23.78596 (106),
198761,G2100619D,23.76643 (107),
198374,wusize,23.59713 (108),
200538,G2204030A,23.54682 (109),
202331,G2104987C,22.95035 (110),
199872,G2202704C,22.73958 (111),
200842,G2105029E,22.55986 (112),
201080,G2202882F,22.13745 (113),
198443,fcxndnht,21.84878 (114),
199736,G2204158H,21.60422 (115),
202323,G2203984E,20.02100 (116),
198653,xiaohao2,19.88782 (117),
198181,carmcheng,19.10343 (118),
198398,JingkangYang,15.49258 (119),
