submission_pk,User,b'Prediction score'
252388,wedenigt,169.260 (1),
253758,dhebenstreit,170.606 (2),
251034,arthur75,172.745 (3),
241791,ytahtah,176.738 (4),
220631,ncarmona,183.051 (5),
253209,MerlinLouis,188.556 (6),
223902,LeDuf,219.013 (7),
248024,Madhura,222.493 (8),
250094,pelolke,225.902 (9),
211246,benchmark2,233.019 (10),
194750,Nayart,271.408 (11),
196544,remillou,274.356 (12),
207808,ajan11,303.101 (13),
193922,benchmark,303.101 (13),
227440,kossi25,321.337 (14),
230270,enstaFlo,322.753 (15),
223550,nThAr0s,322.753 (15),
215240,raisin,322.753 (15),
214986,b_raciniewska,322.753 (15),
214516,IlyasTheProphet,322.753 (15),
212541,jmpion,322.753 (15),
204709,bergbergen,322.753 (15),
197107,P1np0n,322.753 (15),
194941,aposhei,322.753 (15),
241937,Ob1,346.184 (16),
253577,MonaKaddura,356.920 (17),
208231,rishab.ai,403.250 (18),
253966,saims,521.489 (19),
