submission_pk,User,b'FEVER Score',b'Evidence F1',b'Label Accuracy'
217410,kklxc,0.6727 (23),0.4704 (1),0.7774 (6),
217428,LPL,0.6727 (23),0.4704 (1),0.7774 (6),
334092,mitchelldehaven,0.7786 (1),0.4031 (2),0.8035 (1),
447222,csarron,0.7699 (2),0.4024 (3),0.7933 (4),
429975,tanx,0.7692 (3),0.4023 (4),0.7944 (3),
194472,mfajcik,0.7645 (5),0.3982 (5),0.7927 (5),
215124,__Dani__,0.7691 (4),0.3965 (6),0.7969 (2),
392381,tttny,0.7274 (10),0.3940 (7),0.7647 (11),
473904,hrzhang2118,0.6961 (17),0.3914 (8),0.7334 (18),
473799,jeteke991,0.6749 (22),0.3914 (8),0.7154 (25),
473687,jeteke9914,0.6803 (21),0.3914 (8),0.7212 (23),
473675,gmail,0.6574 (26),0.3914 (8),0.6867 (26),
473664,zhangaaaaaaaa,0.6535 (27),0.3914 (8),0.6822 (27),
473659,mail126,0.6816 (20),0.3914 (8),0.7246 (22),
473637,hengranzhang,0.6943 (18),0.3914 (8),0.7285 (19),
412875,gmu,0.7253 (11),0.3914 (8),0.7572 (14),
414389,Jove1,0.7217 (12),0.3914 (8),0.7624 (13),
408394,lan0214,0.7329 (8),0.3914 (8),0.7704 (9),
406745,Jove,0.6979 (16),0.3914 (8),0.7342 (17),
387574,minilan,0.7388 (7),0.3914 (8),0.7727 (8),
365578,markSS,0.7192 (13),0.3914 (8),0.7626 (12),
365597,MarkS,0.7192 (13),0.3914 (8),0.7626 (12),
229446,HuoHuoTu,0.6940 (19),0.3914 (8),0.7281 (20),
224911,wiidest_dream,0.7296 (9),0.3914 (8),0.7658 (10),
190297,ych0103,0.7100 (14),0.3914 (8),0.7559 (15),
181896,judepark,0.7390 (6),0.3914 (8),0.7750 (7),
380049,congzhi,0.6724 (24),0.3687 (9),0.7199 (24),
195038,AresM,0.6706 (25),0.3654 (10),0.7279 (21),
189800,Alsace08,0.7093 (15),0.3654 (10),0.7547 (16),
181016,christos.c,0.2337 (29),0.2345 (11),0.3291 (29),
285600,jens5588,0.2391 (28),0.1826 (12),0.4114 (28),
