submission_pk,User,b'AP',b'AP IoU=.50',b'AP IoU=.75',b'AP large',b'AP medium',b'AP small',b'AR large',b'AR max=1',b'AR max=10',b'AR max=100',b'AR medium',b'AR small'
491928,zongzhuofan,0.66 (1),0.83 (1),0.73 (1),0.79 (1),0.69 (1),0.50 (2),0.92 (3),0.44 (2),0.76 (2),0.81 (2),0.84 (2),0.69 (1),
365400,InternImage-DCNv3,0.66 (2),0.82 (2),0.72 (2),0.79 (2),0.69 (2),0.51 (1),0.93 (1),0.45 (1),0.76 (1),0.81 (1),0.84 (1),0.69 (2),
411153,rentianhe,0.65 (3),0.82 (4),0.72 (4),0.78 (3),0.68 (4),0.49 (3),0.92 (2),0.44 (3),0.75 (3),0.80 (3),0.83 (4),0.67 (4),
233255,BAAI,0.65 (4),0.82 (3),0.72 (3),0.78 (4),0.68 (3),0.48 (4),0.92 (4),0.44 (4),0.75 (4),0.80 (3),0.84 (3),0.68 (3),
267095,jozhang97,0.64 (5),0.80 (5),0.70 (5),0.77 (5),0.67 (5),0.46 (5),0.91 (6),0.44 (5),0.74 (5),0.79 (4),0.82 (5),0.65 (5),
237009,wangjie,0.62 (6),0.80 (6),0.68 (6),0.75 (6),0.65 (6),0.45 (6),0.89 (9),0.43 (6),0.72 (7),0.76 (7),0.79 (9),0.60 (7),
256323,jialianwu6,0.60 (7),0.78 (8),0.66 (7),0.74 (8),0.64 (7),0.43 (7),0.90 (8),0.43 (7),0.72 (6),0.76 (6),0.80 (7),0.61 (6),
352066,czm20,0.60 (8),0.79 (7),0.66 (7),0.75 (6),0.64 (8),0.41 (8),0.91 (5),0.42 (8),0.72 (8),0.77 (5),0.81 (6),0.60 (8),
369229,shilongzhang,0.59 (9),0.77 (9),0.65 (8),0.74 (7),0.62 (9),0.39 (10),0.90 (7),0.42 (10),0.70 (9),0.76 (8),0.80 (8),0.58 (9),
337393,zhangxiaosong18,0.58 (10),0.76 (11),0.63 (9),0.71 (9),0.61 (10),0.39 (11),0.86 (11),0.42 (9),0.68 (11),0.73 (10),0.76 (11),0.56 (11),
380338,Ping-Yang-Chen,0.57 (11),0.74 (12),0.62 (10),0.70 (10),0.60 (11),0.39 (12),0.87 (10),0.41 (11),0.69 (10),0.73 (9),0.77 (10),0.57 (10),
373926,dishant_mewada,0.57 (12),0.76 (10),0.62 (11),0.69 (11),0.60 (12),0.40 (9),0.84 (12),0.41 (12),0.67 (12),0.71 (11),0.75 (12),0.55 (12),
457583,jose.diaz.v,0.53 (13),0.71 (13),0.58 (12),0.65 (13),0.56 (13),0.35 (13),0.82 (18),0.39 (13),0.64 (13),0.69 (12),0.72 (14),0.51 (13),
309933,FPN_pp,0.52 (14),0.70 (14),0.56 (13),0.64 (14),0.55 (19),0.33 (15),0.81 (23),0.39 (14),0.64 (14),0.67 (15),0.70 (21),0.49 (14),
463755,cenjiayi,0.51 (15),0.70 (15),0.56 (14),0.65 (12),0.56 (15),0.32 (19),0.83 (13),0.39 (15),0.63 (15),0.67 (13),0.72 (15),0.48 (18),
372961,Mr_melos,0.51 (16),0.69 (17),0.56 (16),0.64 (15),0.54 (21),0.32 (16),0.82 (16),0.38 (16),0.63 (17),0.67 (15),0.71 (19),0.48 (17),
297041,rrry,0.51 (16),0.69 (16),0.56 (15),0.64 (15),0.55 (17),0.32 (17),0.83 (15),0.38 (16),0.63 (16),0.67 (14),0.72 (16),0.48 (17),
317486,yqh,0.51 (17),0.69 (19),0.55 (17),0.64 (17),0.55 (16),0.32 (18),0.83 (14),0.38 (16),0.63 (18),0.67 (16),0.71 (18),0.46 (20),
302426,Tom-kun,0.51 (18),0.69 (18),0.55 (18),0.64 (16),0.55 (18),0.32 (18),0.81 (22),0.38 (18),0.63 (16),0.67 (13),0.72 (17),0.49 (16),
207299,loki,0.50 (19),0.69 (16),0.55 (19),0.64 (17),0.54 (20),0.32 (20),0.82 (17),0.38 (17),0.62 (20),0.66 (19),0.70 (21),0.46 (21),
227956,zuofengyuan111,0.50 (20),0.69 (18),0.54 (20),0.60 (20),0.56 (14),0.34 (14),0.79 (25),0.37 (20),0.62 (20),0.66 (17),0.72 (13),0.49 (15),
493243,yuxuanwen,0.49 (21),0.67 (21),0.53 (21),0.59 (21),0.52 (22),0.32 (20),0.81 (20),0.38 (19),0.62 (19),0.66 (18),0.71 (20),0.47 (19),
471720,JingzhiZ,0.48 (22),0.67 (20),0.52 (22),0.62 (18),0.50 (23),0.28 (22),0.81 (21),0.37 (21),0.60 (21),0.64 (20),0.68 (23),0.44 (23),
314821,satuoqaq,0.46 (23),0.64 (27),0.50 (24),0.57 (23),0.49 (26),0.29 (21),0.79 (25),0.36 (23),0.60 (23),0.64 (21),0.68 (25),0.44 (22),
183704,lightbillow,0.46 (23),0.65 (24),0.51 (23),0.57 (22),0.50 (25),0.28 (23),0.79 (26),0.36 (22),0.60 (22),0.64 (22),0.68 (24),0.44 (23),
288691,yangyang0201,0.46 (24),0.63 (28),0.50 (25),0.61 (19),0.50 (24),0.24 (31),0.82 (19),0.36 (24),0.59 (24),0.63 (23),0.69 (22),0.38 (30),
205193,wonderchan,0.45 (25),0.66 (22),0.48 (27),0.56 (24),0.48 (28),0.27 (26),0.76 (28),0.36 (25),0.57 (27),0.60 (30),0.64 (32),0.40 (28),
201912,Richard,0.44 (26),0.65 (23),0.49 (26),0.54 (29),0.47 (29),0.27 (24),0.74 (32),0.34 (30),0.56 (30),0.61 (27),0.65 (29),0.42 (25),
193140,junruixiao,0.44 (26),0.64 (26),0.47 (29),0.55 (25),0.48 (27),0.27 (24),0.75 (30),0.36 (26),0.57 (29),0.60 (29),0.64 (30),0.41 (26),
471582,xiaoyuz,0.44 (27),0.61 (30),0.48 (28),0.54 (27),0.47 (31),0.26 (27),0.79 (24),0.35 (27),0.59 (25),0.62 (24),0.68 (26),0.41 (27),
246059,agv,0.44 (27),0.65 (25),0.48 (27),0.52 (31),0.47 (30),0.27 (25),0.73 (34),0.34 (33),0.56 (31),0.60 (28),0.65 (29),0.43 (24),
413374,hantaozh,0.43 (28),0.62 (29),0.47 (30),0.55 (26),0.47 (32),0.25 (28),0.78 (27),0.35 (28),0.57 (26),0.61 (25),0.66 (27),0.40 (29),
348816,HappyYang,0.42 (29),0.61 (31),0.46 (31),0.54 (28),0.45 (33),0.24 (30),0.72 (37),0.34 (29),0.54 (34),0.56 (33),0.60 (36),0.35 (34),
476002,hrli311,0.41 (30),0.61 (31),0.44 (35),0.52 (32),0.44 (39),0.24 (33),0.73 (34),0.34 (31),0.54 (33),0.58 (32),0.61 (35),0.37 (31),
465578,Just-Y,0.41 (30),0.59 (34),0.45 (32),0.51 (33),0.44 (36),0.24 (29),0.76 (29),0.34 (32),0.57 (28),0.61 (26),0.66 (28),0.40 (28),
424872,jayphone,0.41 (30),0.61 (30),0.44 (34),0.52 (30),0.45 (34),0.22 (34),0.71 (39),0.34 (35),0.54 (35),0.56 (33),0.62 (33),0.35 (33),
304936,MaSiliang,0.41 (31),0.59 (35),0.45 (33),0.50 (35),0.44 (35),0.24 (32),0.75 (31),0.34 (34),0.55 (32),0.59 (31),0.64 (31),0.37 (32),
342167,ian1109,0.40 (32),0.61 (32),0.43 (36),0.50 (34),0.44 (38),0.24 (33),0.73 (36),0.34 (35),0.54 (34),0.58 (32),0.62 (34),0.37 (31),
248430,mike123,0.40 (33),0.60 (33),0.43 (37),0.49 (36),0.44 (37),0.22 (35),0.72 (38),0.32 (36),0.53 (36),0.56 (33),0.62 (33),0.35 (35),
303251,wslpf3344,0.38 (34),0.58 (36),0.40 (38),0.47 (38),0.42 (40),0.20 (37),0.70 (40),0.31 (37),0.51 (37),0.55 (34),0.60 (37),0.32 (36),
391894,saogc,0.36 (35),0.56 (37),0.39 (39),0.52 (32),0.39 (41),0.17 (38),0.73 (35),0.31 (39),0.48 (39),0.52 (35),0.56 (38),0.27 (38),
408505,chjinhuu,0.35 (36),0.55 (38),0.38 (40),0.44 (39),0.38 (42),0.20 (36),0.65 (41),0.31 (38),0.49 (38),0.51 (36),0.55 (39),0.32 (37),
210789,MyHyk1,0.30 (37),0.45 (41),0.32 (41),0.48 (37),0.31 (43),0.08 (42),0.74 (33),0.27 (40),0.43 (40),0.45 (37),0.52 (40),0.13 (42),
222988,ansh_kumar,0.29 (38),0.46 (40),0.32 (41),0.44 (40),0.31 (44),0.11 (41),0.53 (46),0.25 (42),0.34 (44),0.35 (42),0.37 (44),0.13 (43),
368354,KTaskn,0.28 (39),0.49 (39),0.28 (42),0.35 (41),0.29 (45),0.16 (39),0.56 (44),0.26 (41),0.42 (41),0.44 (38),0.47 (41),0.26 (39),
319678,sj_xiilab,0.23 (40),0.37 (43),0.24 (43),0.28 (44),0.24 (47),0.11 (40),0.55 (45),0.24 (43),0.40 (42),0.42 (39),0.45 (43),0.23 (40),
470776,lugendary,0.22 (41),0.40 (42),0.22 (44),0.29 (43),0.26 (46),0.08 (42),0.56 (43),0.22 (44),0.37 (43),0.39 (40),0.46 (42),0.16 (41),
347616,kasurashan,0.18 (42),0.33 (44),0.18 (45),0.30 (42),0.17 (48),0.05 (43),0.61 (42),0.20 (45),0.33 (45),0.37 (41),0.36 (45),0.12 (44),
381515,a20gabgo,0.11 (43),0.14 (46),0.12 (46),0.20 (45),0.08 (49),0.01 (45),0.23 (48),0.12 (46),0.12 (47),0.12 (44),0.09 (47),0.01 (47),
353467,ppb,0.08 (44),0.24 (45),0.02 (47),0.12 (46),0.08 (50),0.05 (44),0.33 (47),0.11 (47),0.21 (46),0.24 (43),0.26 (46),0.12 (45),
387170,dongjiajiedc,0.00 (45),0.00 (47),0.00 (48),0.00 (47),0.00 (51),0.00 (46),0.00 (50),0.00 (49),0.00 (49),0.00 (46),0.00 (49),0.00 (48),
353514,wulimmdet,0.00 (46),0.00 (48),0.00 (48),0.00 (47),0.00 (51),0.00 (46),0.05 (49),0.02 (48),0.03 (48),0.03 (45),0.03 (48),0.02 (46),
290702,minsu,0.00 (47),0.00 (49),0.00 (49),0.00 (48),0.00 (52),0.00 (47),0.00 (50),0.00 (49),0.00 (49),0.00 (46),0.00 (49),0.00 (48),
