submission_pk,User,b'avg',b'5-1',b'5-5',b'10-1',b'10-5'
491041,X_X,0.98 (1),0.99 (1),0.99 (1),0.98 (1),0.98 (1),
366736,liutao,0.97 (2),0.98 (2),0.98 (4),0.95 (2),0.97 (4),
219997,Yuzhe,0.97 (3),0.97 (3),0.98 (6),0.95 (3),0.96 (7),
474337,zchcolorful,0.97 (5),0.97 (5),0.98 (3),0.95 (4),0.96 (5),
460632,Cathyttt,0.97 (4),0.97 (4),0.98 (2),0.94 (5),0.97 (2),
473838,CalvinLin011010,0.95 (7),0.95 (7),0.98 (7),0.92 (6),0.96 (6),
461281,canopee,0.95 (6),0.95 (9),0.98 (5),0.92 (7),0.97 (3),
457313,khj,0.94 (8),0.95 (8),0.97 (10),0.91 (8),0.94 (9),
357975,xiaoshiyi,0.94 (9),0.94 (10),0.97 (8),0.90 (9),0.94 (10),
363767,kglearning,0.73 (11),0.95 (6),0.96 (11),0.90 (10),0.11 (11),
322778,tiennt235,0.88 (10),0.76 (11),0.97 (9),0.84 (11),0.94 (8),
