submission_pk,User,b'Gaze Error',b'Gaze Error Standard Deviation'
253086,yanglei31,3.23 (1),2.39 (1),
337527,yunhanwang,3.65 (2),2.60 (2),
480989,Xiangwei,3.70 (3),2.67 (3),
190489,YunjiaSun,3.81 (4),2.73 (4),
213579,creamnuts,3.96 (5),3.12 (9),
332130,hy2225,4.01 (6),3.04 (6),
301827,mhpour,4.21 (7),2.94 (5),
428266,AgentKu,4.24 (8),3.08 (7),
387811,signalxh,4.33 (9),3.15 (12),
200180,lwx0724,4.41 (10),3.40 (14),
413686,adndt3,4.46 (11),3.11 (8),
351384,storymy,4.48 (12),3.19 (13),
400286,YuhangQi,4.49 (13),3.13 (10),
182736,ETH-XGaze-Baseline,4.50 (14),3.14 (11),
229544,rmaha002,4.79 (15),3.53 (15),
424714,SNV-Gaze,5.48 (16),5.87 (16),
446675,Gilles,9.72 (17),6.69 (17),
205023,hwqs2023,15.43 (18),18.12 (18),
444882,pakapro,45.75 (19),21.28 (19),
