submission_pk,User,b'iou'
274154,wztxy89,0.775 (1),
251414,komleva.ep,0.756 (2),
271800,jinx,0.752 (3),
271644,Man_of_the_year,0.740 (4),
248287,Haoyu_Zhang,0.723 (5),
243875,xexanoth,0.712 (6),
263663,nika-li,0.669 (7),
237537,happy_hippo,0.654 (8),
228749,warriors_,0.640 (9),
248891,YUL,0.627 (10),
208689,vvvb,0.621 (11),
269477,Ndhuynh,0.616 (12),
254439,blinoff,0.613 (13),
228505,KhylonWong,0.612 (14),
271176,yangst,0.589 (15),
208958,emirov,0.549 (16),
255362,spiritfog,0.438 (17),
198937,Sergey_Zlobin,0.431 (18),
199627,Zhihu,0.391 (19),
230125,GeorgeBredis,0.338 (20),
265757,farahatif,0.310 (21),
268170,Zhouyang_Chi,0.292 (22),
230373,sebasmos,0.264 (23),
230354,__ONE--,0.220 (24),
267828,KDDI_Research,0.214 (25),
243656,RedPandaAI,0.211 (26),
188660,likhobaba-dp,0.210 (27),
239834,amin,0.210 (27),
224697,Pratibha_H,0.210 (27),
233008,wangzichao,0.210 (28),
274342,obenozgur,0.210 (29),
256862,milind,0.210 (30),
220611,cathy,0.210 (31),
249975,ouahab,0.209 (32),
258750,RogerChen,0.209 (33),
215447,RicardoLu,0.209 (34),
242523,tuyentx,0.209 (35),
259518,wuhuqifei,0.209 (36),
223072,burstlink,0.209 (37),
247585,sandeep_urankar,0.118 (38),
248965,Shrinidhi_Biradar,0.112 (39),
225846,Kavana_26,0.102 (40),
275144,suliman.jan,0.000 (41),
275052,sobiarehman,0.000 (41),
274372,sajjadrauf,0.000 (41),
274245,hiraijaz,0.000 (41),
273867,Zohaibali,0.000 (41),
265724,vinayakt.28,0.000 (41),
240180,zwl678,0.000 (41),
