submission_pk,User,b'nDCG@20 (test set)',b'MAP (test set)',b'Precision@20 (test set)',b'MRR@100 (test set)',b'MRR@100 (validation set)'
210615,BingChilling,0.3622 (1),0.2923 (2),0.1447 (1),0.3873 (2),0.3176 (1),
210453,new_google,0.3579 (2),0.2901 (3),0.1437 (2),0.3892 (1),0.2890 (3),
210139,Explorers,0.3568 (3),0.2951 (1),0.1337 (8),0.3667 (4),0.2736 (7),
212581,DocumentTurboFetcher,0.3540 (4),0.2749 (5),0.1419 (3),0.3715 (3),0.3040 (2),
209748,team_turkey,0.3493 (5),0.2870 (4),0.1392 (7),0.3583 (6),0.2711 (8),
210588,TeamCIA,0.3353 (6),0.2647 (6),0.1407 (4),0.3618 (5),0.2783 (5),
214896,ZM_BTB,0.3256 (7),0.2530 (7),0.1392 (6),0.3562 (7),0.2839 (4),
216269,JoeyBlankendaal,0.3197 (8),0.2458 (8),0.1404 (5),0.3442 (8),0.2743 (6),
216759,Goggles,0.2622 (9),0.1958 (10),0.1266 (9),0.2770 (11),0.2128 (9),
210458,project_group_4,0.2459 (10),0.2081 (9),0.0727 (12),0.2773 (10),0.2028 (10),
208774,zoekende_machine,0.2220 (11),0.1676 (11),0.0912 (10),0.2957 (9),0.1987 (11),
210059,Zoekmachinerds,0.1939 (12),0.1381 (12),0.0841 (11),0.2721 (12),0.1846 (12),
