submission_pk,User,SLS,SLS,SLS,Top-1 Accuracy (%),Top-1 Accuracy (%),Top-1 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Unseen Participants Top-1 (%),Unseen Participants Top-1 (%),Unseen Participants Top-1 (%),Tail Classes Top-1 (%),Tail Classes Top-1 (%),Tail Classes Top-1 (%)
,b'PT',b'TL',b'TD',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action',b'Verb',b'Noun',b'Action'
459338,yzhao,3.0 (2),54.3 (1),65.2 (9),44.5 (2),28.2 (2),,,,,,,,,,,,,,,,
128508,xxiong,4.0 (1),52.8 (2),71.7 (1),44.8 (1),28.5 (1),,,,,,,,,,,,,,,,
459423,Jaesung,4.0 (1),52.3 (3),71.3 (2),43.9 (3),25.4 (3),,,,,,,,,,,,,,,,
124182,hrgdscs,4.0 (1),50.4 (4),70.7 (3),41.2 (5),24.8 (4),,,,,,,,,,,,,,,,
458393,ctai,4.0 (1),50.0 (5),68.5 (5),42.0 (4),24.7 (5),,,,,,,,,,,,,,,,
20070,CVPR2021-hrgdscs,4.0 (1),48.7 (6),68.6 (4),39.8 (6),22.2 (8),,,,,,,,,,,,,,,,
20077,CVPR2021-ZiyuanHuang,4.0 (1),48.5 (7),67.1 (6),39.5 (7),22.7 (7),,,,,,,,,,,,,,,,
20083,OpenTesting2021-MTCN,3.0 (2),46.8 (8),66.5 (7),39.0 (8),22.8 (6),,,,,,,,,,,,,,,,
20088,CVPR2021-Sudhakaran,4.0 (1),44.8 (9),65.5 (8),37.5 (9),19.0 (9),,,,,,,,,,,,,,,,
128575,cuis,4.0 (1),42.8 (10),62.1 (11),35.1 (10),16.2 (13),,,,,,,,,,,,,,,,
63583,escorciav,3.0 (2),41.5 (11),62.7 (10),33.0 (12),18.1 (10),,,,,,,,,,,,,,,,
128510,real_gump,3.0 (2),40.4 (12),59.6 (12),33.1 (11),10.5 (18),,,,,,,,,,,,,,,,
164305,latent,3.0 (2),38.8 (13),58.0 (13),31.0 (13),17.8 (11),,,,,,,,,,,,,,,,
19834,EPIC_TSM_FUSION,4.0 (1),37.4 (14),57.9 (14),30.6 (14),13.4 (15),,,,,,,,,,,,,,,,
168889,hyf015,3.0 (2),36.8 (15),54.2 (18),27.9 (17),16.8 (12),,,,,,,,,,,,,,,,
19844,EPIC_SLOWFAST_RGB,4.0 (1),36.8 (16),56.4 (15),29.3 (16),13.4 (15),,,,,,,,,,,,,,,,
19868,EPIC_TBN_FUSION,4.0 (1),35.5 (17),56.3 (16),29.3 (16),14.1 (14),,,,,,,,,,,,,,,,
19829,EPIC_TRN_FUSION,4.0 (1),35.3 (18),55.3 (17),29.7 (15),12.2 (16),,,,,,,,,,,,,,,,
19862,EPIC_TSN_Fusion,4.0 (1),33.6 (19),53.9 (19),27.4 (18),11.4 (17),,,,,,,,,,,,,,,,
