submission_pk,User,b'JSA',b'U_E(f1)',b'U_I(f1)',b'T_T(f1)',b'T_D(f1)',b'T_S(f1)'
248677,michaelibrahim,0.9107 (1),0.8658 (5),0.7701 (2),0.9908 (1),0.9866 (1),0.9975 (1),
248014,Man_of_the_year,0.9066 (2),0.8755 (1),0.7727 (1),0.9838 (5),0.9694 (4),0.9955 (3),
245819,magical,0.9062 (3),0.8562 (11),0.7523 (7),0.9866 (3),0.9815 (2),0.9961 (2),
247642,qwe8093506,0.9041 (4),0.8568 (10),0.7454 (11),0.9867 (2),0.9752 (3),0.9948 (6),
248360,Nevermind,0.9012 (5),0.8661 (4),0.7537 (6),0.9846 (4),0.9691 (5),0.9952 (4),
247319,jasonnoy,0.8962 (6),0.8703 (3),0.7615 (3),0.9807 (9),0.9571 (9),0.9912 (11),
247430,abc111,0.8957 (7),0.8614 (7),0.7586 (5),0.9828 (6),0.9625 (7),0.9949 (5),
244588,Marco,0.8926 (8),0.8575 (9),0.7392 (12),0.9798 (10),0.9612 (8),0.9927 (9),
248806,RyanKK,0.8916 (9),0.8507 (13),0.7301 (13),0.9811 (8),0.9677 (6),0.9930 (8),
245950,ashwini,0.8862 (10),0.8555 (12),0.7290 (14),0.9795 (11),0.9281 (12),0.9924 (10),
246220,Yiran,0.8844 (11),0.8582 (8),0.7474 (9),0.9748 (13),0.9287 (11),0.9902 (12),
193389,Ad_nlp,0.8837 (12),0.8726 (2),0.7606 (4),0.9621 (14),0.8687 (13),0.9866 (14),
223014,Kay_huang,0.7578 (13),0.8582 (8),0.7469 (10),0.9776 (12),0.8355 (14),0.9874 (13),
463290,pauloxavier,0.6687 (14),0.8642 (6),0.7515 (8),0.9812 (7),0.9544 (10),0.9943 (7),
