submission_pk,User,b'SROCC_FR',b'RMSE_FR',b'PLCC_FR',b'SROCC_NR',b'RMSE_NR',b'PLCC_NR'
243909,darkness,0.9997 (1),0.6214 (13),0.9999 (1),0.9998 (1),0.6139 (13),0.9999 (1),
251434,catchchaos,0.9335 (2),37.1336 (4),0.8890 (3),0.9484 (2),35.8688 (3),0.5600 (10),
241471,concombr,0.9133 (3),47.5802 (1),0.8454 (9),NaN (13),49.5808 (1),NaN (13),
254081,mantiuk,0.9121 (4),15.8391 (9),0.8764 (4),0.9332 (3),16.4726 (9),0.7027 (9),
251888,Dounia,0.9109 (5),37.3237 (3),0.8578 (7),0.9306 (4),41.7301 (2),0.8894 (6),
251521,abhinaukumar,0.9054 (6),9.8945 (12),0.9079 (2),0.8492 (10),21.0986 (7),0.8217 (8),
253298,Aarna,0.8785 (7),27.2133 (5),0.8677 (6),0.8972 (6),30.6881 (4),0.8924 (5),
251811,bataq118,0.8694 (8),25.4077 (6),0.8541 (8),0.8990 (5),28.9662 (5),0.8943 (4),
251024,JiahaoChang,0.8468 (9),13.6268 (11),0.8745 (5),0.8808 (8),13.3198 (11),0.9001 (2),
251751,megatron,0.8382 (10),15.7317 (10),0.8059 (10),0.8772 (9),16.1484 (10),0.8337 (7),
254094,lesswrong,0.3866 (11),18.4909 (8),0.4851 (11),0.3556 (11),19.9530 (8),0.4608 (11),
253813,ashwini,0.2143 (12),23.5065 (7),0.3711 (12),0.2752 (12),23.0861 (6),0.4160 (12),
193080,ericalingyuan,0.1728 (13),44.5454 (2),0.1733 (13),0.8968 (7),10.5916 (12),0.8968 (3),
