submission_pk,User,b'Accuracy'
208291,widemax,0.95 (1),
271080,annnasmirnnova,0.93 (2),
208952,Iriska_Myakcat,0.93 (2),
208918,shuriksokol,0.93 (2),
208900,OshalevshiyKeks,0.93 (2),
208868,meow_meow,0.93 (2),
208671,shishkoffandrey,0.93 (2),
208500,Panesher,0.93 (2),
208288,retir,0.93 (2),
208558,alekhinakate,0.92 (3),
208626,anikonn,0.91 (4),
208303,esquerte,0.91 (4),
208289,NanamyYu,0.91 (4),
208940,MISHA,0.90 (5),
208594,andrew_milko,0.89 (6),
208486,random_classifier,0.34 (7),
