submission_pk,User,b'mIoU',b'weight IoU',b'VC8',b'VC16'
437598,baky1983,0.6297 (1),0.7667 (1),0.9316 (6),0.9051 (6),
438572,SiegeLion,0.6276 (2),0.7614 (4),0.9432 (1),0.9214 (1),
434046,naicha,0.6262 (3),0.7546 (10),0.9131 (15),0.8831 (15),
420551,csj,0.6260 (4),0.7511 (11),0.9198 (11),0.8903 (11),
425826,tryagain,0.6222 (5),0.7637 (3),0.9347 (2),0.9120 (2),
437411,wg234567p,0.6209 (6),0.7588 (5),0.9318 (5),0.9076 (3),
437229,Finn_zhang,0.6200 (7),0.7584 (7),0.9304 (7),0.9075 (4),
409984,jjzhang,0.6180 (8),0.7657 (2),0.9022 (17),0.8673 (17),
423989,jieson_zheng,0.6169 (9),0.7546 (9),0.9056 (16),0.8723 (16),
391709,T-VOID,0.6142 (10),0.7585 (6),0.9181 (12),0.8833 (14),
436997,minbao,0.6141 (11),0.7553 (8),0.9239 (10),0.8911 (9),
409782,chenguanlin,0.6113 (12),0.7500 (12),0.8984 (20),0.8619 (20),
360060,zhangtao-whu,0.5609 (13),0.7103 (16),0.9169 (13),0.8907 (10),
302846,dlsrbgg33,0.5494 (14),0.7138 (15),0.9158 (14),0.8864 (13),
362603,Ach,0.5430 (15),0.7175 (14),0.8834 (21),0.8441 (21),
438825,L-N,0.5374 (16),0.7189 (13),0.9250 (9),0.8938 (8),
382262,BetterThing,0.5322 (17),0.7035 (18),0.9328 (4),0.9056 (5),
324204,mcahny,0.5299 (18),0.6993 (19),0.9016 (18),0.8638 (18),
389166,DaiSir,0.5277 (19),0.6935 (20),0.9338 (3),0.8978 (7),
385525,yknykn,0.5262 (20),0.7040 (17),0.8709 (23),0.8322 (23),
381874,GenglunZhang,0.5175 (21),0.6921 (21),0.9262 (8),0.8899 (12),
386429,khinchin,0.5072 (22),0.6784 (22),0.8781 (22),0.8357 (22),
441314,markdeep,0.5020 (23),0.6614 (23),0.8573 (25),0.8146 (25),
393758,Zhao,0.4652 (24),0.6538 (25),0.8691 (24),0.8266 (24),
386188,ll_ly,0.4506 (25),0.6590 (24),0.8996 (19),0.8635 (19),
398198,BIGbaodan,0.3297 (26),0.5567 (26),0.7910 (27),0.7415 (26),
356156,jihwaneom,0.3258 (27),0.5558 (27),0.7946 (26),0.7323 (27),
351225,HarborY,0.3258 (27),0.5558 (27),0.7946 (26),0.7323 (27),
338044,aaal,0.3258 (27),0.5558 (27),0.7946 (26),0.7323 (27),
295142,miaomm,0.3258 (27),0.5558 (27),0.7946 (26),0.7323 (27),
