submission_pk,User,b'F1 Stance Detection',b'F1 Premise Classification'
48416,camalibi,0.6968 (1),0.7404 (1),
50301,sevastyanm,0.6815 (2),0.7235 (2),
44340,iamdenay,0.6676 (3),0.6555 (4),
45403,ursdth,0.6573 (4),0.7064 (3),
50803,sopilnyak,0.5603 (5),0.4338 (10),
46530,kazzand,0.5552 (6),0.5603 (6),
50687,morty,0.5353 (7),0.5453 (7),
50236,invincible,0.5286 (8),0.5428 (8),
45250,dr,0.4750 (9),0.6036 (5),
51017,lilaspourpre,0.4180 (10),0.4355 (9),
50766,antongolubev,0.3338 (11),0.3338 (11),
46954,unknown123,0.2737 (12),0.2949 (12),
47058,georgeMK,0.0685 (13),0.0525 (13),
50774,regibezh,0.0000 (14),0.0000 (14),
