submission_pk,User,b'AUC'
282372,disguer,0.8171 (1),
283158,GM,0.8161 (2),
283258,gaozhanfire,0.8160 (3),
282889,comecomeya,0.8160 (4),
282320,shijianmao,0.8154 (5),
282901,LearningAndChanging,0.8153 (6),
283183,Edgar,0.8143 (7),
283178,echo,0.8143 (8),
282407,xieyang,0.8139 (9),
283179,ZhiChunRoad,0.8124 (10),
283188,day_day_up,0.8122 (11),
283013,zhanxiaotian,0.8092 (12),
280738,GoodGoodStudy,0.8091 (13),
277747,dada,0.8080 (14),
280810,aZhen,0.8079 (15),
282826,shadowseeker,0.8067 (16),
283230,michaelibrahim,0.8059 (17),
282155,blackcoffe,0.8058 (18),
276316,poniuniu,0.8056 (19),
260908,jiny,0.8033 (20),
247027,SuyeongAn,0.8010 (21),
282750,kusuri,0.7990 (22),
279357,Haoxin_Xu,0.7981 (23),
281959,JWNAM,0.7961 (24),
278504,daniel_taghive,0.7864 (25),
260676,USTC-IAT,0.7860 (26),
242873,recha,0.7845 (27),
281919,herry123435,0.7832 (28),
204978,pykt-akt,0.7812 (29),
241711,muzinicemoon,0.7793 (30),
261327,jill.xj,0.7758 (31),
239197,YY-XMU,0.7721 (32),
268125,CLLBJ16,0.7705 (33),
281955,ShengHui,0.7696 (34),
265658,buaapyj,0.7663 (35),
252032,sinyu,0.7661 (36),
262315,LongxingTan,0.7658 (37),
278995,ashwini,0.7654 (38),
248241,Ya_Hi,0.7618 (39),
253516,Eura,0.7617 (40),
261651,marco310,0.7578 (41),
278992,bo-yu,0.7534 (42),
259772,ncguo,0.7521 (43),
279512,kaian0414,0.7381 (44),
278814,skipper,0.7381 (44),
240894,ZY2106308,0.7381 (44),
233497,anshull,0.7381 (44),
226731,Zhihu,0.7381 (44),
225597,wongi_park,0.7381 (44),
204930,pykt-team,0.7381 (44),
277608,thanhthi,0.7381 (45),
277888,suhyunlee,0.7370 (46),
279618,xbh,0.7329 (47),
204993,pykt-dkt,0.7086 (48),
277819,hbh,0.7030 (49),
260455,FangLiu,0.6995 (50),
277132,One-punch,0.6912 (51),
247797,YU1998,0.6714 (52),
280692,itouchz,0.5000 (53),
