submission_pk,User,b'Score',b'AScore'
219090,BachNG,14.60 (1),- (-),
219015,lechithinh,14.20 (2),- (-),
219028,hanhpm,14.00 (3),- (-),
219138,badger_team_x,13.80 (4),- (-),
219083,tlhbinhk12,13.80 (4),- (-),
219081,nero,13.80 (4),- (-),
219029,aic-Plato,13.80 (4),- (-),
219136,magicjimmy,13.60 (5),- (-),
219108,linhlpv,13.60 (5),- (-),
219067,uno2022,13.60 (5),- (-),
218901,voanhhao3830,13.60 (5),- (-),
219066,Dat09,13.40 (6),- (-),
218870,dnsang,13.40 (6),- (-),
219113,hungam,13.00 (7),- (-),
218982,Azone,13.00 (7),- (-),
219125,TIUday,12.80 (8),- (-),
219049,ToTuanAn,12.80 (8),- (-),
219005,hbmduyen,12.80 (8),- (-),
218933,hustboy,12.80 (8),- (-),
219044,duongvankhoa,12.60 (9),- (-),
219127,UIT-RainbowShine,12.40 (10),- (-),
219089,baobao,12.40 (10),- (-),
218966,homelander,12.20 (11),- (-),
219140,thangdt277,11.80 (12),- (-),
219135,UIT-GOogol,11.60 (13),- (-),
219139,hoaifaan,11.40 (14),- (-),
219031,sieunhanxyz147,11.40 (14),- (-),
219129,manhkhanhad,10.40 (15),- (-),
218735,ExperiencedNewbies,10.00 (16),- (-),
219040,tcp,10.00 (16),- (-),
218958,HCMUS_CottonCandy,10.00 (16),- (-),
219050,tuandinh,9.40 (17),- (-),
219095,VeVe,8.40 (18),- (-),
219128,MiloLovers,8.00 (19),- (-),
219107,tiennt235,7.20 (20),- (-),
219038,ntkhang2003,7.20 (20),- (-),
218963,HCMUS-PLS,5.00 (21),- (-),
219027,kien,3.80 (22),- (-),
