submission_pk,User,b'ARI'
255389,GlebMazanov,1.0000 (1),
253907,Anastasiia.Batsheva,1.0000 (1),
253822,alexsend57,1.0000 (1),
247612,Vir_Ven,1.0000 (1),
253561,niksukhorukov,0.9823 (2),
252504,jenchik1,0.9649 (3),
252731,Gt854,0.9477 (4),
257302,FD,0.6520 (5),
256930,A.Demidova,0.6520 (5),
256767,abdulazizsamra,0.6520 (5),
254775,_twinkle_,0.6520 (5),
255292,st_alex2902,0.6520 (5),
255051,lkuz_mik,0.6520 (5),
251754,chomsky,0.6520 (5),
254424,JuliaKudryavtseva,0.6520 (5),
253960,Veronica_Ivanova,0.6520 (5),
253950,Anastasia,0.6520 (5),
253804,Arkadiy_Vladimirov,0.6520 (5),
253783,maryushsoroka,0.6520 (5),
253770,Evgurov,0.6520 (5),
253617,pashche,0.6520 (5),
253629,AlarSarv,0.6520 (5),
253405,libraa,0.6520 (5),
253463,aayugay99,0.6520 (5),
253362,art-bash,0.6520 (5),
252377,kuikek,0.6520 (5),
251400,Nick,0.6520 (5),
251207,a.makhin,0.6520 (5),
251120,azelentsov,0.6520 (5),
256551,ooodnakov,0.6411 (6),
253508,happy_hippo,0.6343 (7),
228726,lilaspourpre,0.6278 (8),
247940,kirakuznetsova,0.6278 (8),
282530,Egor,0.6169 (9),
253973,artgoldman,0.5996 (10),
256432,Loyso,0.5336 (11),
253452,mashmallow,0.4768 (12),
255030,Emalk,0.4564 (13),
253353,vadimpyx,0.4539 (14),
252493,EvgeniyGarsiya,0.4254 (15),
253898,lina.bashaeva,0.3276 (16),
254049,LA,0.1078 (17),
