submission_pk,User,b'Averaged Pearson Correlations',b'Empathy Pearson Correlation',b'Distress Pearson Correlation'
64428,bunny_gg,0.540 (1),0.537 (2),0.543 (2),
65062,fmplaza,0.530 (2),0.541 (1),0.519 (6),
64075,chenyueg,0.529 (3),0.512 (5),0.547 (1),
84973,alahnala,0.523 (4),0.524 (3),0.521 (4),
450825,dsharma,0.521 (5),0.520 (4),0.521 (5),
73269,Shenbin,0.517 (6),0.504 (7),0.530 (3),
66065,WENGSYX,0.499 (7),0.508 (6),0.489 (9),
182205,myrazma,0.494 (8),0.498 (8),0.489 (8),
65592,himil24,0.488 (9),0.470 (11),0.506 (7),
65973,soumitra_ghosh,0.483 (10),0.479 (10),0.488 (10),
66574,sourabh.zanwar,0.468 (11),0.484 (9),0.453 (11),
66411,phuonglh,0.190 (12),0.196 (12),0.183 (12),
423601,pakapro,- (13),- (13),- (13),
64737,himanshu.1007,- (13),- (13),- (13),
67455,ShailyDesai,- (13),- (13),- (13),
66207,shantpat,- (13),- (13),- (13),
65810,nastyachizhikova,- (13),- (13),- (13),
submission_pk,User,b'Macro F1-Score',b'Micro F1-Score',b'Accuracy',b'Macro Precision',b'Macro Recall',b'Micro Precision',b'Micro Recall'
66065,WENGSYX,0.698 (1),0.754 (1),0.754 (1),0.740 (1),0.679 (1),0.754 (1),0.754 (1),
84973,alahnala,0.604 (2),0.669 (2),0.669 (2),0.625 (2),0.592 (2),0.669 (2),0.669 (2),
64737,himanshu.1007,0.585 (3),0.661 (3),0.661 (3),0.594 (5),0.584 (3),0.661 (3),0.661 (3),
64075,chenyueg,0.572 (4),0.646 (4),0.646 (4),0.599 (3),0.555 (5),0.646 (4),0.646 (4),
73269,Shenbin,0.571 (5),0.646 (4),0.646 (4),0.595 (4),0.559 (4),0.646 (4),0.646 (4),
65062,fmplaza,0.553 (6),0.636 (5),0.636 (5),0.589 (7),0.535 (7),0.636 (5),0.636 (5),
66574,sourabh.zanwar,0.548 (7),0.632 (6),0.632 (6),0.594 (6),0.528 (12),0.632 (6),0.632 (6),
65810,nastyachizhikova,0.544 (8),0.623 (7),0.623 (7),0.571 (8),0.531 (9),0.623 (7),0.623 (7),
64428,bunny_gg,0.544 (9),0.611 (8),0.611 (8),0.564 (9),0.539 (6),0.611 (8),0.611 (8),
66207,shantpat,0.534 (10),0.623 (7),0.623 (7),0.552 (11),0.532 (8),0.623 (7),0.623 (7),
65592,himil24,0.531 (11),0.611 (8),0.611 (8),0.557 (10),0.529 (10),0.611 (8),0.611 (8),
65973,soumitra_ghosh,0.524 (12),0.585 (9),0.585 (9),0.527 (12),0.528 (11),0.585 (9),0.585 (9),
67455,ShailyDesai,0.464 (13),0.560 (10),0.560 (10),0.473 (13),0.467 (13),0.560 (10),0.560 (10),
450825,dsharma,- (14),- (11),- (11),- (14),- (14),- (11),- (11),
423601,pakapro,- (14),- (11),- (11),- (14),- (14),- (11),- (11),
182205,myrazma,- (14),- (11),- (11),- (14),- (14),- (11),- (11),
66411,phuonglh,- (14),- (11),- (11),- (14),- (14),- (11),- (11),
submission_pk,User,b'PER Pearson Correlations'
Exception parsing scores!
submission_pk,User,b'IRI Pearson Correlations'
Exception parsing scores!
