submission_pk,User,b'SUM',b'Bleu(4)',b'METEOR',b'ROUGE_L',b'CIDEr'
260924,S_19,1.30868 (1),0.17324 (1),0.20047 (1),0.40925 (1),0.52572 (1),
260983,S_Group20,1.08736 (4),0.16530 (2),0.16544 (7),0.36939 (4),0.38722 (5),
247826,S_07,1.04861 (6),0.15790 (3),0.15884 (11),0.36368 (9),0.36820 (7),
261781,Sgroup09,0.99627 (10),0.14763 (4),0.15226 (15),0.35719 (13),0.33920 (10),
271498,D13,1.04101 (7),0.14558 (5),0.16496 (8),0.36800 (6),0.36248 (8),
260606,S_02,1.16814 (2),0.13835 (6),0.17756 (3),0.37726 (2),0.47497 (2),
236102,S12,0.94704 (15),0.13658 (7),0.15063 (18),0.35004 (17),0.30979 (15),
260649,AigroupEight8,0.89105 (28),0.13503 (8),0.14273 (34),0.33892 (32),0.27437 (31),
260248,S5,1.02653 (8),0.13458 (9),0.16986 (5),0.36915 (5),0.35294 (9),
244600,A08,0.90189 (22),0.13275 (10),0.14225 (38),0.34509 (24),0.28179 (24),
245898,S18,0.97262 (12),0.13264 (11),0.15810 (12),0.36040 (10),0.32148 (13),
260805,A_01,0.93975 (17),0.13162 (12),0.15066 (17),0.35260 (15),0.30486 (16),
261368,S1,1.11285 (3),0.13136 (13),0.17172 (4),0.36614 (7),0.44363 (3),
260873,AIgroup7,0.91455 (19),0.12902 (14),0.14908 (22),0.34777 (20),0.28869 (19),
260374,AIGroup6,0.84079 (43),0.12879 (15),0.13745 (47),0.32887 (43),0.24568 (45),
240029,ZhongrenMeng,0.89950 (23),0.12878 (16),0.14691 (24),0.34355 (25),0.28026 (27),
260895,S_13,0.95613 (14),0.12810 (17),0.15625 (13),0.35397 (14),0.31782 (14),
260570,A_18,0.89436 (25),0.12755 (18),0.14503 (29),0.34747 (21),0.27431 (32),
260799,A17,0.89412 (27),0.12751 (19),0.14493 (30),0.34739 (23),0.27429 (33),
260441,A_05,0.89429 (26),0.12750 (20),0.14503 (29),0.34745 (22),0.27431 (32),
260322,A41,0.89429 (26),0.12750 (20),0.14503 (29),0.34745 (22),0.27431 (32),
259730,A7,0.89429 (26),0.12750 (20),0.14503 (29),0.34745 (22),0.27431 (32),
242516,A02,0.90285 (21),0.12726 (21),0.14668 (25),0.34288 (27),0.28604 (22),
259920,S09,0.87619 (35),0.12635 (22),0.14069 (43),0.33983 (31),0.26933 (35),
273720,D05,1.06772 (5),0.12551 (23),0.17992 (2),0.36943 (3),0.39286 (4),
243965,S_15,0.97295 (11),0.12544 (24),0.16354 (9),0.35969 (12),0.32427 (12),
261424,A_33,0.88237 (32),0.12540 (25),0.14125 (41),0.33653 (34),0.27919 (28),
260424,A40,0.88353 (31),0.12455 (26),0.14131 (40),0.33678 (33),0.28090 (25),
263433,A03,0.87793 (33),0.12293 (27),0.14588 (26),0.33181 (38),0.27731 (29),
240639,A30,0.85348 (38),0.12248 (28),0.14407 (31),0.33272 (35),0.25422 (41),
259720,S_11,0.91966 (18),0.12171 (29),0.14998 (20),0.34845 (19),0.29951 (17),
248275,S_14,0.90460 (20),0.12162 (30),0.15141 (16),0.34311 (26),0.28846 (20),
261118,S_8,0.94520 (16),0.12148 (31),0.16298 (10),0.36414 (8),0.29661 (18),
259941,Sherlock,0.88918 (29),0.12130 (32),0.14740 (23),0.33983 (31),0.28065 (26),
260849,A-25,0.88533 (30),0.12117 (33),0.14530 (28),0.34250 (28),0.27636 (30),
261737,A-99,0.85590 (37),0.11968 (34),0.14125 (41),0.32811 (44),0.26686 (37),
259485,A_30,0.85590 (37),0.11968 (34),0.14125 (41),0.32811 (44),0.26686 (37),
241830,S_10,0.84237 (41),0.11905 (35),0.14230 (37),0.34859 (18),0.23243 (49),
241792,Xixi_,0.84237 (41),0.11905 (35),0.14230 (37),0.34859 (18),0.23243 (49),
260573,A_15,0.89595 (24),0.11889 (36),0.15016 (19),0.34055 (30),0.28634 (21),
260019,endcond,0.87712 (34),0.11670 (37),0.14559 (27),0.34119 (29),0.27364 (34),
259808,A32,0.83668 (44),0.11546 (38),0.14072 (42),0.33028 (41),0.25022 (42),
259045,Dgroup7,0.84619 (40),0.11539 (39),0.14368 (32),0.33107 (39),0.25605 (40),
260164,rose,1.02632 (9),0.11524 (40),0.16938 (6),0.36034 (11),0.38135 (6),
264772,D11,0.95978 (13),0.11419 (41),0.15620 (14),0.35085 (16),0.33853 (11),
249178,D12,0.85137 (39),0.11378 (42),0.13944 (46),0.33064 (40),0.26751 (36),
252902,D06,0.83183 (46),0.11091 (43),0.14004 (45),0.33261 (36),0.24826 (43),
259586,A_17ws,0.81822 (47),0.11025 (44),0.13739 (48),0.32452 (46),0.24606 (44),
259672,A09,0.84223 (42),0.10865 (45),0.14258 (35),0.33210 (37),0.25890 (39),
261854,A23,0.83343 (45),0.10069 (46),0.14308 (33),0.32891 (42),0.26075 (38),
260072,A20,0.79508 (49),0.10038 (47),0.14018 (44),0.32054 (48),0.23398 (48),
262517,D3,0.76412 (52),0.09918 (48),0.13383 (53),0.31298 (52),0.21813 (55),
259975,test1000,0.79804 (48),0.09901 (49),0.14136 (39),0.32356 (47),0.23411 (47),
259746,D_01,0.85988 (36),0.09766 (50),0.14929 (21),0.32726 (45),0.28567 (23),
258636,A_14,0.64639 (77),0.09589 (51),0.11802 (76),0.29344 (70),0.13904 (77),
234134,S_06,0.76985 (50),0.09432 (52),0.13397 (52),0.31556 (50),0.22601 (50),
258724,S_08,0.75516 (55),0.09253 (53),0.13729 (49),0.30725 (57),0.21808 (56),
232543,S_04,0.72520 (61),0.09192 (54),0.12900 (61),0.30478 (61),0.19950 (61),
243961,A16,0.76821 (51),0.09171 (55),0.13642 (50),0.31662 (49),0.22346 (52),
245685,A27,0.75738 (53),0.09126 (56),0.13291 (54),0.31234 (54),0.22087 (53),
261657,S16,0.74686 (57),0.09106 (57),0.13086 (56),0.30637 (59),0.21857 (54),
261474,A-13,0.73822 (59),0.08968 (58),0.12907 (60),0.30756 (56),0.21191 (58),
247157,A06,0.75634 (54),0.08810 (59),0.13027 (57),0.31276 (53),0.22521 (51),
242977,A24,0.74199 (58),0.08633 (60),0.13246 (55),0.30929 (55),0.21391 (57),
228120,S_03,0.72755 (60),0.08603 (61),0.12972 (59),0.30675 (58),0.20505 (59),
261863,A19,0.70131 (65),0.08514 (62),0.12392 (68),0.30380 (63),0.18845 (65),
259770,A35,0.70045 (66),0.08502 (63),0.12369 (69),0.30380 (63),0.18794 (66),
258548,A16_2022,0.69794 (67),0.08483 (64),0.12314 (70),0.30345 (64),0.18652 (67),
245839,A25,0.69794 (67),0.08483 (64),0.12314 (70),0.30345 (64),0.18652 (67),
228118,Sumengqing,0.71952 (63),0.08479 (65),0.12869 (62),0.30539 (60),0.20065 (60),
254539,JadeRing,0.75333 (56),0.08477 (66),0.13501 (51),0.29577 (68),0.23778 (46),
255860,S_21,0.72486 (62),0.08305 (67),0.12980 (58),0.31346 (51),0.19856 (62),
259416,S_zht,0.66550 (75),0.08251 (68),0.12046 (74),0.29580 (67),0.16673 (76),
260515,A_14_,0.67357 (73),0.08015 (69),0.12310 (71),0.29430 (69),0.17603 (74),
239243,ditouqianxiao,0.67357 (73),0.08015 (69),0.12310 (71),0.29430 (69),0.17603 (74),
261588,S17,0.69530 (68),0.07994 (70),0.12737 (63),0.29829 (66),0.18970 (64),
248276,_xwh,0.70738 (64),0.07899 (71),0.12646 (64),0.30422 (62),0.19771 (63),
247130,ansewu,0.68598 (69),0.07822 (72),0.12043 (75),0.30196 (65),0.18537 (68),
256765,jqttt,0.66891 (74),0.07808 (73),0.12124 (72),0.28890 (74),0.18069 (72),
261706,A21,0.66164 (76),0.07647 (74),0.11712 (77),0.28743 (75),0.18062 (73),
261107,hcd123hcd,0.67693 (70),0.07512 (75),0.12584 (65),0.29303 (71),0.18293 (69),
254512,nnnna,0.67601 (71),0.07500 (76),0.12571 (66),0.29265 (72),0.18265 (70),
271076,D4,0.67411 (72),0.07441 (77),0.12545 (67),0.29229 (73),0.18196 (71),
271068,A4,0.67411 (72),0.07441 (77),0.12545 (67),0.29229 (73),0.18196 (71),
244146,ff11,0.45716 (80),0.06956 (78),0.09388 (79),0.24080 (78),0.05292 (79),
259627,A_31,0.64591 (78),0.06737 (79),0.12111 (73),0.28625 (76),0.17118 (75),
274456,D_10,0.56501 (79),0.05429 (80),0.14243 (36),0.26450 (77),0.10378 (78),
266588,D008,0.38023 (81),0.01182 (81),0.10794 (78),0.20884 (79),0.05163 (80),
