submission_pk,User,b'<All>',b'<Eusophagus>',b'Esophagus',b'Heart',b'Trachea',b'Aorta',b'Esophagus',b'Heart',b'Trachea',b'Aorta'
381431,lczhang,- (-),- (-),0.89 (3),0.96 (1),0.92 (4),0.95 (1),0.19 (3),0.12 (1),0.19 (3),0.12 (2),
474330,UnifySeg,- (-),- (-),0.89 (1),0.96 (2),0.92 (7),0.95 (2),0.18 (1),0.13 (4),0.20 (5),0.12 (1),
338258,ykx001,- (-),- (-),0.89 (2),0.95 (5),0.92 (6),0.95 (3),0.18 (2),0.14 (5),0.21 (6),0.14 (3),
461340,for_research,- (-),- (-),0.87 (6),0.95 (6),0.93 (1),0.95 (4),0.26 (5),0.14 (7),0.19 (4),0.16 (5),
350712,dearcabbage,- (-),- (-),0.88 (5),0.95 (4),0.93 (2),0.95 (5),0.21 (4),0.13 (3),0.17 (2),0.15 (4),
326342,MaksymManko,- (-),- (-),0.87 (7),0.95 (8),0.93 (3),0.94 (6),0.26 (6),0.17 (8),0.16 (1),0.20 (7),
434827,tianshizhicheng,- (-),- (-),0.88 (4),0.96 (3),0.92 (5),0.94 (7),0.93 (9),0.12 (2),0.23 (7),0.21 (8),
333261,XLC,- (-),- (-),0.82 (9),0.95 (9),0.88 (10),0.93 (8),1.22 (10),0.17 (9),0.32 (9),0.19 (6),
435285,zhuhui100,- (-),- (-),0.82 (8),0.95 (7),0.89 (9),0.92 (9),0.60 (8),0.14 (6),0.45 (10),0.32 (9),
276349,chenjunqiang,- (-),- (-),0.80 (10),0.94 (10),0.90 (8),0.92 (10),0.55 (7),0.19 (10),0.28 (8),0.36 (10),
243442,CocoGue,- (-),- (-),0.00 (11),0.00 (11),0.00 (12),0.87 (11),422.23 (11),373.94 (12),449.51 (12),1.30 (11),
264496,cgue,- (-),- (-),0.00 (11),0.00 (11),0.01 (11),0.00 (12),423.25 (12),308.16 (11),381.20 (11),403.02 (12),
