submission_pk,User,b'Combined R2',b'Unweighted R2',b'Weighted R2'
248464,wenkelj,0.6697 (1),0.6697 (1),0.6697 (1),
226373,Batu_Arda_Duzgun,0.5496 (2),0.5389 (2),0.5603 (16),
252401,isalee,0.5478 (3),0.5014 (3),0.5941 (8),
256880,meryan,0.5294 (4),0.5010 (4),0.5578 (18),
242025,azuerrer,0.4968 (5),0.4968 (5),0.4968 (31),
278038,cmerk,0.4951 (6),0.4357 (9),0.5545 (19),
261707,natanael_hirzel,0.4769 (7),0.3882 (25),0.5655 (15),
254959,robertca,0.4746 (8),0.4405 (7),0.5086 (27),
255258,Koala99,0.4711 (9),0.3751 (31),0.5670 (13),
267708,sa_li,0.4696 (10),0.3068 (45),0.6324 (3),
244592,Liuxin_ETH,0.4617 (11),0.3143 (42),0.6092 (4),
278367,blclo,0.4597 (12),0.3859 (26),0.5334 (24),
263961,timgros,0.4565 (13),0.4565 (6),0.4565 (50),
253449,mskogli,0.4528 (14),0.3991 (22),0.5065 (28),
258129,zuedavid,0.4518 (15),0.4145 (11),0.4891 (33),
276494,simschla,0.4477 (16),0.3930 (24),0.5023 (30),
249660,jgaber,0.4472 (17),0.4011 (20),0.4933 (32),
262691,Chuan,0.4418 (18),0.4092 (12),0.4744 (41),
252380,liblaser,0.4390 (19),0.3724 (32),0.5056 (29),
258207,gloorli,0.4359 (20),0.4359 (8),0.4359 (58),
256011,kmosle,0.4357 (21),0.4083 (13),0.4631 (46),
263250,mi_pana_disecado,0.4344 (22),0.4043 (18),0.4645 (45),
252576,cyrknech,0.4335 (23),0.3931 (23),0.4739 (42),
271450,wuxiny,0.4311 (24),0.3429 (40),0.5193 (26),
252512,iliadisa,0.4292 (25),0.3854 (27),0.4730 (43),
259928,Thiemo,0.4284 (26),0.4043 (17),0.4526 (51),
245151,lijzou,0.4270 (27),0.4270 (10),0.4270 (60),
278421,taskins,0.4265 (28),0.3828 (29),0.4703 (44),
249138,pinkpanther,0.4265 (28),0.3828 (29),0.4703 (44),
276899,bergar,0.4185 (29),0.3588 (37),0.4781 (39),
267140,Felicien,0.4080 (30),0.3373 (41),0.4787 (38),
227511,knillm,0.4076 (31),0.4067 (15),0.4085 (68),
251533,awaernsaeter,0.4070 (32),0.4070 (14),0.4070 (69),
