submission_pk,User,b'Accuracy',b'Species1 F1 Score',b'Species2 F1 Score',b'Species3 F1 Score',b'Species4 F1 Score',b'Species5 F1 Score',b'Species6 F1 Score',b'Species7 F1 Score',b'Species8 F1 Score'
249604,DarioCavalli,0.9548 (1),0.8964 (1),0.9583 (1),0.9716 (8),0.9566 (1),0.9665 (1),0.9679 (1),0.9855 (4),0.9370 (1),
249517,ClaudioMoriello,0.9548 (1),0.8964 (1),0.9583 (1),0.9716 (8),0.9566 (1),0.9665 (1),0.9679 (1),0.9855 (4),0.9370 (1),
249570,AndreaAiello,0.9548 (1),0.8964 (1),0.9583 (1),0.9716 (8),0.9566 (1),0.9665 (1),0.9679 (1),0.9855 (4),0.9370 (1),
249574,paolobasso,0.9548 (1),0.8964 (1),0.9583 (1),0.9716 (8),0.9566 (1),0.9665 (1),0.9679 (1),0.9855 (4),0.9370 (1),
249179,Pablo,0.9446 (2),0.8909 (2),0.9477 (2),0.9753 (2),0.9451 (2),0.9526 (3),0.9535 (6),0.9790 (15),0.9130 (2),
247006,PhatCat,0.9313 (3),0.8628 (3),0.9381 (8),0.9609 (32),0.9381 (3),0.9420 (19),0.9400 (33),0.9777 (19),0.8901 (5),
247844,Howny,0.9313 (3),0.8628 (3),0.9381 (8),0.9609 (32),0.9381 (3),0.9420 (19),0.9400 (33),0.9777 (19),0.8901 (5),
247913,pollomarzo,0.9313 (3),0.8628 (3),0.9381 (8),0.9609 (32),0.9381 (3),0.9420 (19),0.9400 (33),0.9777 (19),0.8901 (5),
249008,riccardo_donati,0.9303 (4),0.8352 (15),0.9359 (11),0.9728 (6),0.9303 (9),0.9488 (9),0.9493 (11),0.9867 (2),0.8794 (9),
247683,Matte999x,0.9293 (5),0.8391 (13),0.9412 (5),0.9632 (25),0.9295 (11),0.9543 (2),0.9448 (20),0.9867 (2),0.8750 (10),
248480,federicoporcari,0.9293 (5),0.8391 (13),0.9412 (5),0.9632 (25),0.9295 (11),0.9543 (2),0.9448 (20),0.9867 (2),0.8750 (10),
247464,francesca.forbicini,0.9283 (6),0.8467 (8),0.9219 (27),0.9693 (12),0.9199 (18),0.9452 (13),0.9615 (2),0.9787 (16),0.8852 (7),
248908,leobre_1024,0.9283 (6),0.8312 (17),0.9407 (6),0.9834 (1),0.9137 (25),0.9437 (15),0.9544 (5),0.9628 (80),0.8918 (4),
248091,oscararagon,0.9262 (7),0.8179 (21),0.9372 (9),0.9742 (4),0.9264 (13),0.9443 (14),0.9504 (7),0.9867 (3),0.8687 (12),
248009,antopet99,0.9242 (8),0.8486 (5),0.9344 (12),0.9615 (30),0.9120 (28),0.9366 (25),0.9440 (23),0.9853 (6),0.8702 (11),
249034,puch,0.9242 (8),0.8486 (5),0.9344 (12),0.9615 (30),0.9120 (28),0.9366 (25),0.9440 (23),0.9853 (6),0.8702 (11),
248923,giulis13,0.9232 (9),0.8278 (19),0.9418 (4),0.9734 (5),0.9147 (24),0.9426 (17),0.9415 (29),0.9802 (12),0.8628 (19),
247762,Alberto,0.9218 (10),0.8401 (10),0.9384 (7),0.9551 (46),0.9031 (45),0.9223 (68),0.9460 (18),0.9778 (17),0.8886 (6),
248463,FlavioLaManna,0.9211 (11),0.8480 (6),0.9259 (20),0.9608 (33),0.9049 (40),0.9295 (46),0.9400 (34),0.9765 (22),0.8804 (8),
248843,FedericoCaspani,0.9211 (11),0.8516 (4),0.9258 (21),0.9667 (18),0.9162 (21),0.9276 (54),0.9500 (8),0.9777 (19),0.8564 (26),
247520,EnricoZardi,0.9205 (12),0.8320 (16),0.9231 (23),0.9539 (53),0.9342 (5),0.9396 (21),0.9385 (40),0.9778 (18),0.8629 (18),
247646,leonardo,0.9201 (13),0.8392 (12),0.9249 (22),0.9526 (57),0.9299 (10),0.9371 (24),0.9407 (31),0.9765 (22),0.8583 (23),
249153,andreabosisio,0.9201 (13),0.8468 (7),0.9283 (17),0.9555 (44),0.8976 (57),0.9243 (62),0.9381 (42),0.9752 (26),0.8922 (3),
247471,LorenzoCutrupi,0.9198 (14),0.8297 (18),0.9223 (26),0.9525 (58),0.9317 (8),0.9379 (22),0.9430 (27),0.9829 (9),0.8568 (25),
248653,diego_m,0.9198 (14),0.8270 (20),0.9332 (13),0.9682 (14),0.9191 (19),0.9344 (30),0.9489 (12),0.9602 (95),0.8644 (15),
248951,manuel.montecalvo,0.9198 (14),0.8108 (25),0.9229 (25),0.9749 (3),0.9321 (7),0.9501 (7),0.9432 (26),0.9651 (68),0.8564 (27),
247754,Giova,0.9167 (15),0.8406 (9),0.9272 (18),0.9587 (39),0.8965 (62),0.9311 (38),0.9434 (25),0.9704 (40),0.8679 (13),
248862,Calonca,0.9164 (16),0.7773 (61),0.9426 (3),0.9676 (15),0.9191 (20),0.9344 (29),0.9483 (13),0.9934 (1),0.8399 (49),
248206,noe_manzo,0.9157 (17),0.7816 (53),0.9325 (14),0.9753 (2),0.9262 (14),0.9502 (6),0.9370 (45),0.9689 (47),0.8433 (46),
247626,LeaZancani,0.9154 (18),0.7976 (34),0.9049 (65),0.9549 (47),0.9204 (17),0.9341 (32),0.9610 (3),0.9764 (23),0.8666 (14),
248031,OttaviaBelotti,0.9147 (19),0.8056 (29),0.9229 (24),0.9577 (41),0.9116 (30),0.9511 (5),0.9366 (46),0.9750 (28),0.8507 (32),
247860,giovanni.chiurco,0.9143 (20),0.8364 (14),0.9156 (36),0.9507 (65),0.9239 (16),0.9295 (47),0.9282 (67),0.9671 (57),0.8606 (20),
248086,dconsole,0.9140 (21),0.7834 (49),0.9199 (29),0.9714 (9),0.9317 (8),0.9471 (12),0.9335 (57),0.9677 (52),0.8475 (39),
249061,ploki99,0.9140 (21),0.7796 (58),0.9317 (16),0.9699 (11),0.9152 (23),0.9495 (8),0.9469 (16),0.9677 (53),0.8450 (42),
247749,davi_p,0.9126 (22),0.8107 (26),0.9103 (49),0.9544 (51),0.9191 (19),0.9302 (43),0.9394 (35),0.9690 (46),0.8630 (17),
248770,GiuseppeC,0.9126 (22),0.8398 (11),0.9132 (40),0.9624 (28),0.9063 (36),0.9275 (55),0.9437 (24),0.9622 (84),0.8484 (35),
247696,AndreaBorsatto,0.9120 (23),0.7813 (54),0.9024 (72),0.9713 (10),0.9030 (47),0.9431 (16),0.9495 (9),0.9774 (21),0.8594 (21),
247746,Marghe,0.9116 (24),0.7527 (110),0.9323 (15),0.9582 (40),0.9363 (4),0.9474 (11),0.9413 (30),0.9841 (8),0.8288 (75),
249044,SimoneBuranti,0.9113 (25),0.7801 (56),0.8981 (86),0.9684 (13),0.9326 (6),0.9486 (10),0.9477 (14),0.9666 (60),0.8388 (54),
249447,ToxicSupport,0.9096 (26),0.8000 (33),0.9127 (42),0.9563 (43),0.8936 (75),0.9521 (4),0.9402 (32),0.9775 (20),0.8391 (53),
249249,marianopela,0.9089 (27),0.8128 (23),0.9062 (62),0.9534 (54),0.8918 (84),0.9254 (60),0.9365 (47),0.9800 (14),0.8631 (16),
249339,andrearestelli,0.9079 (28),0.7841 (48),0.9100 (50),0.9543 (52),0.9161 (22),0.9309 (41),0.9390 (36),0.9751 (27),0.8450 (41),
249052,SickNebo,0.9075 (29),0.7818 (51),0.8741 (151),0.9670 (17),0.9199 (18),0.9420 (19),0.9458 (19),0.9695 (45),0.8560 (28),
249315,Antony,0.9075 (29),0.7818 (51),0.8741 (151),0.9670 (17),0.9199 (18),0.9420 (19),0.9458 (19),0.9695 (45),0.8560 (28),
247411,marcotramontini,0.9069 (30),0.8028 (31),0.9231 (23),0.9552 (45),0.8903 (87),0.9263 (58),0.9383 (41),0.9669 (58),0.8482 (37),
247728,Trixyz,0.9065 (31),0.7931 (38),0.9046 (68),0.9684 (13),0.9096 (31),0.9413 (20),0.9383 (41),0.9614 (88),0.8329 (70),
247921,Gavrilo,0.9065 (31),0.7809 (55),0.9367 (10),0.9577 (41),0.9244 (15),0.9310 (39),0.9140 (125),0.9649 (70),0.8325 (71),
247448,gabriele.borroni,0.9062 (32),0.8072 (28),0.9135 (39),0.9617 (29),0.9083 (33),0.9296 (45),0.9246 (79),0.9669 (58),0.8373 (60),
249508,joan.bushi,0.9062 (32),0.8072 (28),0.9135 (39),0.9617 (29),0.9083 (33),0.9296 (45),0.9246 (79),0.9669 (58),0.8373 (60),
249542,luigi.bertoncini,0.9062 (32),0.8072 (28),0.9135 (39),0.9617 (29),0.9083 (33),0.9296 (45),0.9246 (79),0.9669 (58),0.8373 (60),
