submission_pk,User,b'Average TPR@0.1FPR across the three scenarios'
304196,tianjian10,0.1568 (1),
302620,iamgroot42,0.1445 (2),
299136,kasra,0.1411 (3),
293700,Flesh,0.1357 (4),
293697,cheeky-monkey,0.1353 (5),
293692,devpranjal,0.1283 (6),
293699,npc,0.1277 (7),
293691,rocco_m,0.1223 (8),
302799,rohitYadav,0.1153 (9),
293696,TeamUSYD,0.1098 (10),
293702,kaiyao,0.1091 (11),
293694,rooney,0.1086 (12),
293698,mrsarthakgupta,0.1075 (13),
293693,voncarlos,0.1055 (14),
304168,micochallenge,0.1053 (15),
302517,NavyaGovind,0.1053 (15),
293705,yyc,0.1053 (15),
293701,d_quest,0.1053 (15),
293703,cloned,0.1053 (15),
293704,wwwwhy,0.1053 (16),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
299136,kasra,0.1678 (4),0.0274 (3),0.0050 (1),0.5792 (5),0.1034 (6),0.5517 (6),
304196,tianjian10,0.1908 (1),0.0378 (1),0.0044 (2),0.6149 (1),0.1480 (2),0.5740 (2),
302620,iamgroot42,0.1736 (2),0.0236 (4),0.0034 (3),0.5962 (3),0.1292 (4),0.5646 (4),
302799,rohitYadav,0.1156 (9),0.0114 (12),0.0018 (4),0.5394 (9),0.0630 (9),0.5315 (9),
293691,rocco_m,0.1478 (7),0.0190 (5),0.0016 (5),0.5578 (8),0.0782 (8),0.5391 (8),
293698,mrsarthakgupta,0.1032 (15),0.0116 (11),0.0012 (6),0.5290 (16),0.0544 (15),0.5272 (15),
293692,devpranjal,0.1560 (5),0.0144 (6),0.0012 (6),0.6042 (2),0.1598 (1),0.5799 (1),
293696,TeamUSYD,0.1154 (10),0.0140 (8),0.0010 (7),0.5338 (11),0.0590 (12),0.5295 (12),
293702,kaiyao,0.1048 (13),0.0082 (13),0.0002 (8),0.5294 (15),0.0596 (11),0.5298 (11),
293694,rooney,0.1038 (14),0.0082 (13),0.0002 (8),0.5359 (10),0.0628 (10),0.5314 (10),
304168,micochallenge,0.1078 (11),0.0126 (10),0.0000 (9),0.5301 (13),0.0588 (13),0.5294 (13),
302517,NavyaGovind,0.1078 (11),0.0126 (10),0.0000 (9),0.5301 (13),0.0588 (13),0.5294 (13),
293699,npc,0.1718 (3),0.0294 (2),0.0000 (9),0.5935 (4),0.1302 (3),0.5651 (3),
293705,yyc,0.1078 (11),0.0126 (10),0.0000 (9),0.5301 (13),0.0588 (13),0.5294 (13),
293701,d_quest,0.1078 (11),0.0126 (10),0.0000 (9),0.5301 (12),0.0588 (13),0.5294 (13),
293700,Flesh,0.1460 (8),0.0142 (7),0.0000 (9),0.5664 (7),0.0950 (7),0.5475 (7),
293693,voncarlos,0.1064 (12),0.0000 (14),0.0000 (9),0.5162 (17),0.0346 (16),0.5173 (16),
293697,cheeky-monkey,0.1520 (6),0.0136 (9),0.0000 (9),0.5765 (6),0.1150 (5),0.5575 (5),
293703,cloned,0.1078 (11),0.0126 (10),0.0000 (9),0.5301 (13),0.0588 (13),0.5294 (13),
293704,wwwwhy,0.1078 (11),0.0126 (10),0.0000 (9),0.5301 (14),0.0586 (14),0.5293 (14),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
304196,tianjian10,0.1476 (1),0.0210 (1),0.0026 (1),0.5644 (1),0.0944 (1),0.5472 (1),
293702,kaiyao,0.1226 (6),0.0130 (5),0.0022 (2),0.5301 (7),0.0470 (11),0.5235 (11),
302799,rohitYadav,0.1226 (6),0.0092 (11),0.0016 (3),0.5271 (10),0.0496 (9),0.5248 (9),
299136,kasra,0.1322 (4),0.0190 (2),0.0016 (3),0.5497 (5),0.0720 (5),0.5360 (5),
293696,TeamUSYD,0.1094 (7),0.0138 (4),0.0016 (3),0.5132 (18),0.0304 (13),0.5152 (13),
293691,rocco_m,0.1086 (8),0.0106 (8),0.0012 (4),0.5301 (8),0.0534 (7),0.5267 (7),
293694,rooney,0.1078 (10),0.0124 (7),0.0012 (4),0.5290 (9),0.0526 (8),0.5263 (8),
302620,iamgroot42,0.1358 (2),0.0142 (3),0.0008 (5),0.5558 (4),0.0806 (4),0.5403 (4),
293698,mrsarthakgupta,0.1030 (12),0.0106 (8),0.0008 (5),0.5159 (17),0.0334 (12),0.5167 (12),
304168,micochallenge,0.1004 (13),0.0000 (12),0.0000 (6),0.5210 (15),0.0480 (10),0.5240 (10),
302517,NavyaGovind,0.1004 (13),0.0000 (12),0.0000 (6),0.5210 (12),0.0480 (10),0.5240 (10),
293699,npc,0.1084 (9),0.0100 (10),0.0000 (6),0.5044 (19),0.0126 (14),0.5063 (14),
293705,yyc,0.1004 (13),0.0000 (12),0.0000 (6),0.5210 (14),0.0480 (10),0.5240 (10),
293701,d_quest,0.1004 (13),0.0000 (12),0.0000 (6),0.5210 (16),0.0480 (10),0.5240 (10),
