submission_pk,User,b'Average TPR@0.1FPR across the three scenarios'
304189,tianjian10,0.1700 (1),
301981,iamgroot42,0.1665 (2),
304228,mrsarthakgupta,0.1611 (3),
293088,devpranjal,0.1611 (3),
299998,kasra,0.1443 (4),
278349,cheeky-monkey,0.1403 (5),
276030,Flesh,0.1163 (6),
292736,rooney,0.1135 (7),
286887,ashhadulislam,0.1039 (8),
303021,thehimalayanleo,0.1037 (9),
226378,micochallenge,0.1037 (9),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
304189,tianjian10,0.2410 (1),0.0442 (2),0.0112 (1),0.6680 (1),0.2198 (2),0.6099 (2),
304228,mrsarthakgupta,0.2212 (3),0.0402 (3),0.0096 (2),0.6622 (3),0.2182 (3),0.6091 (3),
293088,devpranjal,0.2212 (3),0.0402 (3),0.0096 (2),0.6622 (3),0.2182 (3),0.6091 (3),
301981,iamgroot42,0.2356 (2),0.0448 (1),0.0058 (3),0.6624 (2),0.2234 (1),0.6117 (1),
299998,kasra,0.2008 (4),0.0264 (4),0.0038 (4),0.6388 (4),0.1932 (4),0.5966 (4),
292736,rooney,0.1436 (6),0.0150 (5),0.0008 (5),0.5974 (6),0.1784 (5),0.5892 (5),
278349,cheeky-monkey,0.1582 (5),0.0142 (7),0.0004 (6),0.6108 (5),0.1728 (8),0.5864 (8),
303021,thehimalayanleo,0.1044 (9),0.0118 (8),0.0000 (7),0.5667 (9),0.1758 (6),0.5879 (6),
286887,ashhadulislam,0.1048 (8),0.0118 (8),0.0000 (7),0.5666 (10),0.1756 (7),0.5878 (7),
276030,Flesh,0.1258 (7),0.0144 (6),0.0000 (7),0.5728 (7),0.1132 (9),0.5566 (9),
226378,micochallenge,0.1044 (9),0.0118 (8),0.0000 (7),0.5667 (8),0.1758 (6),0.5879 (6),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
301981,iamgroot42,0.1398 (1),0.0170 (3),0.0018 (1),0.5496 (4),0.0744 (4),0.5372 (4),
304228,mrsarthakgupta,0.1368 (3),0.0186 (2),0.0014 (2),0.5540 (1),0.0828 (1),0.5414 (1),
293088,devpranjal,0.1368 (3),0.0186 (2),0.0014 (2),0.5540 (1),0.0828 (1),0.5414 (1),
304189,tianjian10,0.1384 (2),0.0192 (1),0.0010 (3),0.5529 (2),0.0806 (2),0.5403 (2),
299998,kasra,0.1126 (5),0.0090 (6),0.0008 (4),0.5352 (5),0.0588 (5),0.5294 (5),
303021,thehimalayanleo,0.0946 (9),0.0074 (7),0.0000 (5),0.5298 (6),0.0556 (6),0.5278 (6),
292736,rooney,0.0948 (8),0.0060 (8),0.0000 (5),0.5109 (10),0.0282 (9),0.5141 (9),
286887,ashhadulislam,0.0952 (7),0.0074 (7),0.0000 (5),0.5298 (8),0.0554 (7),0.5277 (7),
278349,cheeky-monkey,0.1294 (4),0.0118 (4),0.0000 (5),0.5508 (3),0.0756 (3),0.5378 (3),
276030,Flesh,0.1122 (6),0.0112 (5),0.0000 (5),0.5267 (9),0.0400 (8),0.5200 (8),
226378,micochallenge,0.0946 (9),0.0074 (7),0.0000 (5),0.5298 (7),0.0556 (6),0.5278 (6),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
299998,kasra,0.1196 (5),0.0122 (4),0.0028 (1),0.5275 (5),0.0438 (7),0.5219 (7),
304189,tianjian10,0.1306 (2),0.0140 (2),0.0026 (2),0.5460 (2),0.0784 (1),0.5392 (1),
304228,mrsarthakgupta,0.1252 (3),0.0190 (1),0.0024 (3),0.5424 (3),0.0760 (2),0.5380 (2),
293088,devpranjal,0.1252 (3),0.0190 (1),0.0024 (3),0.5424 (3),0.0760 (2),0.5380 (2),
278349,cheeky-monkey,0.1332 (1),0.0132 (3),0.0016 (4),0.5461 (1),0.0738 (3),0.5369 (3),
301981,iamgroot42,0.1240 (4),0.0106 (7),0.0010 (5),0.5323 (4),0.0524 (4),0.5262 (4),
292736,rooney,0.1020 (9),0.0090 (8),0.0008 (6),0.5125 (10),0.0266 (9),0.5133 (9),
303021,thehimalayanleo,0.1120 (6),0.0112 (5),0.0000 (7),0.5240 (7),0.0452 (5),0.5226 (5),
286887,ashhadulislam,0.1118 (7),0.0108 (6),0.0000 (7),0.5240 (8),0.0450 (6),0.5225 (6),
276030,Flesh,0.1110 (8),0.0112 (5),0.0000 (7),0.5172 (9),0.0306 (8),0.5153 (8),
226378,micochallenge,0.1120 (6),0.0112 (5),0.0000 (7),0.5240 (6),0.0452 (5),0.5226 (5),
