submission_pk,User,b'Average TPR@0.1FPR across the three scenarios'
296772,tianjian10,0.1213 (1),
268381,Flesh,0.1134 (2),
226380,micochallenge,0.1039 (3),
293656,devpranjal,0.1035 (4),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
296772,tianjian10,0.1560 (1),0.0396 (1),0.0082 (1),0.5602 (1),0.0746 (1),0.5373 (1),
293656,devpranjal,0.1032 (4),0.0106 (4),0.0004 (2),0.4979 (4),0.0068 (4),0.5034 (4),
268381,Flesh,0.1332 (2),0.0292 (2),0.0000 (3),0.5303 (2),0.0406 (3),0.5203 (3),
226380,micochallenge,0.1072 (3),0.0120 (3),0.0000 (3),0.5207 (3),0.0460 (2),0.5230 (2),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
293656,devpranjal,0.1078 (1),0.0090 (3),0.0006 (1),0.4971 (4),0.0104 (3),0.5052 (3),
296772,tianjian10,0.1062 (2),0.0072 (4),0.0004 (2),0.5023 (2),0.0172 (1),0.5086 (1),
268381,Flesh,0.1056 (3),0.0122 (2),0.0000 (3),0.5005 (3),0.0094 (4),0.5047 (4),
226380,micochallenge,0.1046 (4),0.0124 (1),0.0000 (3),0.5046 (1),0.0158 (2),0.5079 (2),
submission_pk,User,b'TPR@0.1FPR',b'TPR@0.01FPR',b'TPR@0.001FPR',b'AUC',b'MIA',b'Accuracy'
296772,tianjian10,0.1016 (1),0.0114 (2),0.0026 (1),0.5035 (2),0.0146 (3),0.5073 (3),
293656,devpranjal,0.0994 (4),0.0150 (1),0.0016 (2),0.5040 (1),0.0174 (1),0.5087 (1),
268381,Flesh,0.1014 (2),0.0092 (4),0.0000 (3),0.5029 (3),0.0152 (2),0.5076 (2),
226380,micochallenge,0.0998 (3),0.0094 (3),0.0000 (3),0.4997 (4),0.0086 (4),0.5043 (4),
