submission_pk,User,b'mIoU'
373976,businiao,0.65920 (1),
367224,Breizhchess,0.65600 (2),
372161,wangzhiyu918,0.64930 (3),
373959,vecxoz,0.64450 (4),
322075,zq,0.64150 (5),
349683,vlarmet,0.64100 (6),
357850,liusandao,0.63970 (7),
373731,antoine.carreaud,0.63770 (8),
372841,liululu,0.63500 (9),
372166,Penn,0.63480 (10),
296512,wztxy89,0.62890 (11),
270125,SuperEarth,0.62710 (12),
357928,xhj,0.62660 (13),
369993,Paine,0.62590 (14),
273611,lllok,0.62480 (15),
368692,achanhon,0.62370 (16),
294168,XCZhou,0.62210 (17),
314779,kbrodt,0.62100 (18),
373405,strakajk,0.61820 (19),
316010,Kott,0.61500 (20),
372289,antoine.saget,0.61410 (21),
360409,borgarpa,0.61380 (22),
332127,ouahab,0.61340 (23),
348787,dmitryakonovalov,0.61320 (24),
372098,nourhesham,0.60400 (25),
366781,WhyNot,0.60080 (26),
328556,EdgarManrique,0.59830 (27),
314255,Fatliuyun,0.59790 (28),
260295,zyayoung,0.58900 (29),
331614,adb,0.58380 (30),
282719,lanesket,0.58200 (31),
274594,company,0.57890 (32),
284099,codEMI,0.57700 (33),
299511,badbul,0.56150 (34),
242836,flair-one-baseline,0.54560 (35),
305483,iambatman,0.53510 (36),
345638,alorenzo,0.53170 (37),
314730,tak,0.52480 (38),
371369,bigjump,0.51730 (39),
325459,AntoineBuz,0.50040 (40),
316493,xyz,0.47870 (41),
370852,Prachi,0.46730 (42),
315861,diouck,0.43870 (43),
282125,david101,0.41260 (44),
280202,mushfi,0.19840 (45),
292547,Geoafrica,0.03700 (46),
