submission_pk,User,b'Prediction'
62696,IPIU-XDU,0.5335 (1),
62695,AsheLee,0.5296 (2),
62535,bxh,0.4983 (3),
61405,ygjwsl,0.4962 (4),
62605,zq,0.4940 (5),
61381,SpringRain,0.4881 (6),
62174,Wi11Chan,0.4752 (7),
62687,Marco_Ma,0.4632 (8),
61353,ELF,0.4625 (9),
62625,xvsdva,0.4608 (10),
62690,zx,0.4601 (11),
61988,BDD,0.4576 (12),
62534,JXX,0.4524 (13),
62664,PingPingPangPangBangBangBang,0.4485 (14),
62073,yixinzhishui,0.4475 (15),
61942,wly,0.4450 (16),
61949,caicai,0.4238 (17),
62216,WangHao,0.4208 (18),
60788,Einfall,0.4187 (19),
61288,songxinran,0.4187 (20),
62127,mcer,0.4149 (21),
62114,Megrez,0.4129 (22),
62585,gugu,0.4066 (23),
59766,xyz,0.3927 (24),
62212,mqy,0.3903 (25),
61793,yyc,0.3861 (26),
62582,lch,0.3814 (27),
60691,liuwang20144623,0.3676 (28),
59762,cloud,0.3622 (29),
59570,wanli,0.3059 (30),
62296,CCC,0.3048 (31),
62253,rssisu,0.2553 (32),
62282,graygogo,0.2459 (33),
61938,Henryljp,0.2453 (34),
61815,SuzannaCuypers,0.2442 (35),
59995,pineable,0.2441 (36),
60073,Ayoub_Damak,0.2122 (37),
62278,safaB,0.1431 (38),
