submission_pk,User,b'F1',b'precision_score',b'recall_score'
309964,kefahfarisaleesa,0.969 (1),1.000 (1),0.940 (3),
292249,jvladika,0.794 (2),0.798 (2),0.790 (7),
291424,zhouyx21,0.741 (3),0.690 (4),0.800 (6),
302563,FII_Smart,0.699 (4),0.594 (6),0.849 (4),
313129,cychen,0.687 (5),0.602 (5),0.800 (6),
306843,dpavot,0.674 (6),0.519 (7),0.960 (2),
297897,abelcorreadias,0.669 (7),0.503 (10),1.000 (1),
296830,lang8173,0.667 (8),0.500 (11),1.000 (1),
275980,Seonghyeon,0.667 (8),0.500 (11),1.000 (1),
290637,Charin,0.636 (9),0.516 (8),0.830 (5),
305485,antonio.tamayo,0.612 (10),0.503 (9),0.780 (8),
284893,topology,0.502 (11),0.486 (12),0.520 (9),
250409,MJ2301,0.502 (11),0.486 (12),0.520 (9),
290617,facanhe,0.490 (12),0.481 (13),0.500 (10),
396465,Grazh,0.058 (13),0.750 (3),0.030 (11),
