submission_pk,User,b'bestDice',b'absDiffFG',b'FgBgDice',b'diffFG'
490419,fchen,0.88 (1),1.80 (1),0.94 (1),-1.65 (2),
443177,jaweyl,0.05 (2),10.84 (2),0.07 (2),-10.49 (1),
submission_pk,User,b'FgBgDice',b'bestDice',b'diffFG.',b'absDiffFG'
443177,jaweyl,1.00 (1),0.82 (2),2.61 (2),2.67 (2),
490419,fchen,0.96 (2),0.90 (1),-1.48 (1),1.48 (1),
submission_pk,User,b'bestDice',b'FgBgDice',b'diffFG.',b'absDiffFG'
490419,fchen,0.89 (1),0.91 (1),-1.56 (2),1.56 (1),
443177,jaweyl,0.00 (2),0.00 (2),-11.11 (1),11.11 (2),
submission_pk,User,b'bestDice',b'FgBgDice',b'diffFG.',b'absDiffFG'
490419,fchen,0.84 (1),0.94 (1),-0.88 (2),1.48 (1),
443177,jaweyl,0.00 (2),0.00 (2),-5.98 (1),5.98 (2),
submission_pk,User,b'bestDice',b'FgBgDice',b'diffFG.',b'absDiffFG'
490419,fchen,0.90 (1),0.94 (1),-1.93 (2),1.95 (1),
443177,jaweyl,0.00 (2),0.00 (2),-13.23 (1),13.23 (2),
submission_pk,User,b'bestDice',b'FgBgDice',b'diffFG.',b'absDiffFG'
490419,fchen,0.88 (1),0.94 (1),-1.66 (2),1.82 (1),
443177,jaweyl,0.00 (2),0.00 (2),-11.42 (1),11.42 (2),
