submission_pk,User,b'Accuracy',b'Wish F1 Score',b'Another F1 Score',b'Comfortably F1 Score',b'Money F1 Score',b'Breathe F1 Score',b'Time F1 Score',b'Brain F1 Score',b'Echoes F1 Score',b'Wearing F1 Score',b'Sorrow F1 Score',b'Hey F1 Score',b'Shine F1 Score'
275891,andrearestelli,0.7711 (1),0.3529 (49),0.6803 (42),0.9459 (56),0.6444 (1),0.2692 (20),0.4912 (14),0.8842 (17),0.4638 (4),0.9686 (13),0.8157 (1),0.9615 (8),0.3077 (61),
273524,andreasanchini,0.7687 (2),0.3030 (59),0.6803 (42),0.9432 (63),0.6433 (2),0.2400 (34),0.4912 (14),0.8789 (24),0.4706 (3),0.9747 (9),0.8101 (3),0.9709 (5),0.3462 (38),
273894,SimoneMezzaro,0.7687 (2),0.3030 (59),0.6803 (42),0.9432 (63),0.6433 (2),0.2400 (34),0.4912 (14),0.8789 (24),0.4706 (3),0.9747 (9),0.8101 (3),0.9709 (5),0.3462 (38),
276103,Pablo,0.7600 (3),0.2759 (68),0.6839 (39),0.9803 (1),0.6206 (4),0.2222 (45),0.5078 (3),0.8904 (10),0.3200 (109),0.9750 (8),0.7978 (20),0.9412 (21),0.2609 (89),
274292,Alejandro.Jaramillo,0.7593 (4),0.4848 (12),0.6788 (47),0.9609 (15),0.5976 (20),0.2083 (51),0.4941 (11),0.9065 (1),0.4262 (24),0.9625 (18),0.7811 (94),0.9804 (4),0.3111 (58),
274889,francesco.leone,0.7593 (4),0.3871 (39),0.6475 (88),0.9545 (31),0.5939 (26),0.2712 (19),0.5285 (1),0.8656 (47),0.4444 (9),0.9750 (8),0.8114 (2),0.8972 (54),0.3556 (33),
275224,SadraMoghadam,0.7593 (4),0.4848 (12),0.6788 (47),0.9609 (15),0.5976 (20),0.2083 (51),0.4941 (11),0.9065 (1),0.4262 (24),0.9625 (18),0.7811 (94),0.9804 (4),0.3111 (58),
275258,aygalic,0.7593 (4),0.4848 (12),0.6788 (47),0.9609 (15),0.5976 (20),0.2083 (51),0.4941 (11),0.9065 (1),0.4262 (24),0.9625 (18),0.7811 (94),0.9804 (4),0.3111 (58),
274947,MelideCrippa,0.7587 (5),0.3226 (55),0.7083 (11),0.9438 (61),0.6135 (8),0.1600 (80),0.4855 (18),0.8894 (11),0.4242 (25),0.9615 (20),0.7990 (16),0.9293 (29),0.2642 (87),
275888,Jean-Louis,0.7587 (5),0.3333 (53),0.7234 (6),0.9468 (54),0.6176 (6),0.1633 (79),0.4740 (34),0.8847 (15),0.4308 (20),0.9548 (26),0.7973 (21),0.9293 (29),0.2593 (90),
