submission_pk,User,b'EER Global(%)',b'Execution time(ms)'
296975,giuseppe.stragapede,2.36 (1),4477.0 (3),
374613,qinxunhui,2.89 (2),3788.0 (5),
276745,JiajiaJiang,3.40 (3),4548.0 (2),
339137,Shipengfei,4.25 (4),4174.0 (4),
374548,BiDA,7.71 (5),5056.0 (1),
submission_pk,User,b'EER Global(%)',b'Execution time(ms)'
374613,qinxunhui,3.69 (1),2088.0 (4),
276745,JiajiaJiang,7.43 (2),2476.0 (1),
374548,BiDA,10.15 (3),2157.0 (3),
339137,Shipengfei,11.65 (4),2192.0 (2),
296975,giuseppe.stragapede,999.99 (5),0.0 (5),
submission_pk,User,b'ERR Global(%)',b'Execution time(ms)'
374613,qinxunhui,3.05 (1),4052.0 (3),
276745,JiajiaJiang,4.80 (2),4414.0 (1),
374548,BiDA,7.91 (3),4180.0 (2),
339137,Shipengfei,999.99 (4),0.0 (4),
296975,giuseppe.stragapede,999.99 (4),0.0 (4),
