submission_pk,User,b'PSNR',b'SSIM',b'LPIPS',b'KLD'
324021,m-wq,37.00 (3),0.96 (6),0.06 (2),0.02 (1),
321809,NygmaLin,36.80 (5),0.96 (5),0.09 (3),0.03 (2),
323937,Legless_bird,38.06 (2),0.97 (2),0.09 (4),0.04 (3),
304725,kmm,35.38 (7),0.96 (7),0.13 (7),0.06 (4),
324109,SamsungDSRA,36.86 (4),0.96 (3),0.11 (6),0.09 (5),
301124,AndyFine,36.22 (6),0.96 (4),0.10 (5),0.09 (6),
324103,Youxi,29.25 (9),0.90 (8),0.25 (8),0.12 (7),
285284,Qianhui,31.40 (8),0.83 (9),0.27 (9),0.13 (8),
323591,yhy_gogo,44.61 (1),1.00 (1),0.01 (1),0.23 (9),
324719,kunyuwang,12.65 (10),0.59 (10),0.80 (10),3.73 (10),
