submission_pk,User,b'AP IoU=.50',b'AP IoU=.25',b'AP IoU=.75'
398981,AndreaHsu76,0.776 (1),0.840 (2),0.225 (2),
398905,muyishen2040,0.773 (2),0.843 (1),0.212 (5),
398996,Howardkhh,0.772 (3),0.837 (3),0.224 (3),
398991,yucheng1212,0.762 (4),0.834 (4),0.216 (4),
398978,www,0.751 (5),0.807 (7),0.230 (1),
398878,samuel21119,0.737 (6),0.803 (9),0.183 (9),
398951,sgm,0.732 (7),0.813 (5),0.204 (6),
398998,liangguang,0.731 (8),0.802 (10),0.191 (8),
398850,shinya7y,0.731 (8),0.802 (10),0.191 (8),
398747,k-takasan,0.707 (9),0.808 (6),0.121 (16),
398831,huoda,0.702 (10),0.805 (8),0.140 (12),
387761,SyusukeYasui,0.696 (11),0.781 (13),0.192 (7),
399096,rakhaja,0.693 (12),0.743 (16),0.183 (9),
399164,amniku,0.691 (13),0.760 (14),0.158 (11),
388485,milind,0.686 (14),0.795 (11),0.139 (13),
386410,Gregory,0.679 (15),0.785 (12),0.138 (14),
386532,Samuel2,0.648 (16),0.754 (15),0.159 (10),
397212,dishant_mewada,0.609 (17),0.686 (19),0.140 (12),
397436,JasperNing,0.595 (18),0.717 (17),0.101 (17),
398804,skthtu,0.572 (19),0.672 (20),0.083 (18),
390331,bright_light,0.540 (20),0.693 (18),0.075 (19),
397485,gavin.wang,0.529 (21),0.632 (21),0.136 (15),
388956,anarghs,0.480 (22),0.604 (22),0.070 (20),
363080,perecasxiru,0.476 (23),0.591 (23),0.070 (20),
324500,t_s_member,0.460 (24),0.576 (24),0.067 (22),
361535,Kazami.Ishii,0.448 (25),0.555 (25),0.068 (21),
316739,rsobt,0.440 (26),0.549 (26),0.068 (21),
373266,MinseongSon,0.284 (27),0.425 (29),0.023 (27),
395884,abhishekpg111,0.277 (28),0.444 (28),0.030 (26),
398228,harashou,0.258 (29),0.467 (27),0.012 (29),
319913,ngthien,0.163 (30),0.187 (31),0.040 (23),
397035,i-aki.y,0.161 (31),0.188 (30),0.039 (24),
398743,miura-azuma,0.143 (32),0.177 (32),0.031 (25),
360561,tocxoan,0.117 (33),0.167 (33),0.010 (30),
373611,Abhishek_Premanand,0.064 (34),0.070 (34),0.017 (28),
332482,maron8676,0.003 (35),0.040 (35),0.000 (31),
398396,NAKYOUNG,0.000 (36),0.001 (36),0.000 (31),
387398,vecxoz,0.000 (36),0.000 (37),0.000 (31),
373241,runno,0.000 (36),0.000 (37),0.000 (31),
331500,bansal247,0.000 (36),0.000 (37),0.000 (31),
316496,kaidduong,0.000 (36),0.000 (37),0.000 (31),
