submission_pk,User,b'mAP@0.5'
405863,maksimovka,49.53 (1),
405796,VictorDurnov,48.62 (2),
410571,eladcoh3,48.27 (3),
406752,Aksell,47.11 (4),
413211,SM_team,46.95 (5),
406838,wangzhiyu918,46.46 (6),
414666,NoamLhiyani,46.01 (7),
412296,rasyidridha,45.43 (8),
409460,nvnn,44.37 (9),
412312,joochan,42.98 (10),
406143,gfreund,42.70 (11),
406444,mrk1992,42.64 (12),
412269,Kir,41.81 (13),
413633,Isaac,40.34 (14),
407038,victthor,39.98 (15),
406438,bxb6668,38.48 (16),
408148,bart10,38.11 (17),
413602,moshebeutel,37.87 (18),
413363,BloodAxe,37.12 (19),
414649,shanihalevi,36.79 (20),
413112,Ramesh_B,36.66 (21),
413681,antformer,36.17 (22),
414735,GA,35.03 (23),
413464,Danielle,6.56 (24),
410554,sra3dm,4.99 (25),
406761,robinbaudisch,4.08 (26),
405937,RadiatorX,0.67 (27),
