submission_pk,User,b'psnr_x8',b'ssim_x8'
343117,zhwzhong,31.04 (1),0.9036 (1),
339923,lengyu.yb,29.41 (2),0.8727 (2),
343124,manne.sa,28.78 (3),0.8582 (3),
343011,AIR,28.74 (4),0.8568 (4),
336791,Tell_me_why,28.08 (5),0.8325 (5),
322584,Running,27.89 (6),0.8294 (6),
341646,avengers,27.79 (7),0.8262 (7),
326549,SINGLE_SWINIR_TISR,27.68 (8),0.8098 (9),
311820,daicver,27.36 (9),0.8119 (8),
343116,baseline,26.98 (10),0.7968 (11),
335581,henlana,26.72 (11),0.8027 (10),
341348,xidianstu,26.58 (12),0.7780 (14),
336683,AdityaKasliwal,26.50 (13),0.7937 (12),
340171,Ach,25.61 (14),0.7817 (13),
343187,XkaLAb,0.01 (15),0.0001 (15),
314025,hling,0.01 (15),0.0001 (15),
