submission_pk,User,b'mAP'
416096,baiqi,100.00 (1),
396464,tobesixty,100.00 (1),
416542,lvboodvl,99.99 (2),
406664,longpham3105,99.02 (3),
416739,wisdomXZ,96.60 (4),
400398,TouchFish,95.61 (5),
418070,hui21060077a31,95.57 (6),
398111,tinyswish,93.09 (7),
415540,BoxiongWu,92.60 (8),
417940,hhhhwhh,90.53 (9),
414289,gcding,88.90 (10),
417921,xdu_dehazeDetteam,86.87 (11),
407656,super111,85.28 (12),
412981,zuoyi,84.14 (13),
417686,USTC-IAT-Un,79.15 (14),
417694,hanhai,79.15 (14),
415380,dishant_mewada,72.08 (15),
418396,kathmanducow,59.49 (16),
390151,cthun,43.27 (17),
417788,IPIU-MC-Teens,41.38 (18),
395074,chm,36.36 (19),
