submission_pk,User,MAE_M,MAE_mu
384998,mcliche,0.48100 (1),0.55400 (6),
385115,cbaziotis,0.55500 (2),0.54300 (4),
385081,danielfl,0.59900 (3),0.58200 (10),
384388,sasa,0.62300 (4),0.73400 (13),
385035,balikasg,0.64000 (5),0.61600 (12),
384938,gupta-rk,0.69800 (6),0.57100 (9),
384620,lhurtado,0.80600 (7),0.58600 (11),
385041,wwmmqq,0.82300 (8),0.50900 (2),
385142,quanzhi,0.84200 (9),0.53000 (3),
384969,ramybaly,0.89500 (10),0.47500 (1),
385078,symeonidis,0.89500 (10),0.54400 (5),
384948,Epix,0.92500 (11),0.56700 (8),
385152,karpnv,0.92800 (12),0.55700 (7),
384940,wangmin,1.26200 (13),0.76400 (14),
385075,AngelDeborahSuseelan,1.32500 (14),0.98500 (15),
384375,seirasto,1.40000 (15),1.12700 (16),
