submission_pk,User,Prediction score
473671,fayzur20,0.7200 (1),
473679,rook_s_pawn,0.7018 (2),
473775,tanaka,0.6909 (3),
474029,pankajvshrma,0.6909 (3),
473839,patbaa,0.6873 (4),
473676,thanish,0.6873 (4),
473970,OMG,0.6836 (5),
473783,khemkaiitr,0.6836 (5),
473817,Tak,0.6800 (6),
473697,nattochaduke,0.6655 (7),
473669,bambi,0.6545 (8),
473947,skch,0.6545 (8),
473738,nitinsingh.nitt,0.6473 (9),
473854,sk2018,0.6473 (9),
473901,sunny_monk,0.6436 (10),
473905,kimheng,0.6436 (10),
474073,Takusei,0.6400 (11),
474017,reatank,0.6400 (11),
473943,kenta,0.6291 (12),
474054,DataGeek,0.6182 (13),
473763,jameswyt,0.6182 (13),
473981,umineko0303,0.5673 (14),
473934,tellihichem,0.5636 (15),
474064,Teerawat,0.5418 (16),
473954,CVxTz,0.5309 (17),
473950,Hiro,0.5273 (18),
474040,kwnsiy,0.5236 (19),
474051,Darui,0.5200 (20),
474069,tttamaki,0.4982 (21),
474065,xiqxin,0.4836 (22),
473985,sshekhar,0.4800 (23),
