submission_pk,User,avg_pearson,avg_spearman,anger_pearson,anger_spearman,fear_pearson,fear_spearman,joy_pearson,joy_spearman,sadness_pearson,sadness_spearman
401539,Prayas,0.747 (1),0.735 (1),0.732 (1),0.710 (1),0.762 (1),0.743 (1),0.732 (3),0.729 (4),0.765 (2),0.761 (3),
431858,mhjabreel,0.734 (2),0.722 (2),0.720 (2),0.696 (2),0.723 (5),0.698 (6),0.741 (2),0.740 (2),0.754 (6),0.752 (5),
436390,CZWin32768,0.729 (3),0.719 (3),0.711 (3),0.687 (5),0.734 (2),0.715 (2),0.713 (7),0.718 (7),0.759 (4),0.754 (4),
409761,vineet.john,0.727 (4),0.717 (5),0.709 (4),0.687 (6),0.716 (8),0.696 (8),0.728 (5),0.733 (3),0.757 (5),0.751 (6),
861517,navjots121,0.722 (5),0.712 (6),0.705 (5),0.693 (3),0.727 (3),0.703 (4),0.690 (9),0.690 (9),0.767 (1),0.764 (2),
400815,Emkay,0.722 (6),0.712 (7),0.705 (6),0.692 (4),0.726 (4),0.703 (5),0.690 (9),0.690 (9),0.767 (1),0.764 (2),
405745,EgorLakomkin,0.721 (7),0.717 (4),0.678 (12),0.665 (10),0.698 (13),0.686 (10),0.744 (1),0.750 (1),0.763 (3),0.767 (1),
404636,sreeIN,0.715 (8),0.707 (8),0.701 (7),0.682 (7),0.705 (10),0.683 (12),0.716 (6),0.722 (6),0.740 (8),0.742 (8),
402860,venkatesh-1729,0.715 (9),0.702 (9),0.678 (11),0.654 (12),0.705 (11),0.684 (11),0.728 (4),0.728 (5),0.749 (7),0.744 (7),
406304,hardik.meisheri,0.705 (10),0.692 (10),0.677 (13),0.657 (11),0.723 (6),0.705 (3),0.710 (8),0.705 (8),0.711 (13),0.702 (15),
863813,Synapse,0.687 (11),0.674 (11),0.692 (8),0.674 (8),0.701 (12),0.673 (15),0.642 (15),0.640 (16),0.715 (11),0.710 (14),
863837,dhruv002,0.687 (11),0.674 (11),0.692 (8),0.674 (8),0.701 (12),0.673 (15),0.642 (15),0.640 (16),0.715 (11),0.710 (14),
403268,vlaand,0.683 (12),0.667 (15),0.680 (9),0.653 (13),0.717 (7),0.695 (9),0.625 (19),0.619 (19),0.709 (16),0.700 (17),
401601,IITP,0.682 (13),0.671 (13),0.649 (17),0.630 (17),0.713 (9),0.696 (7),0.657 (12),0.655 (12),0.709 (17),0.701 (16),
426891,Yunqi,0.680 (14),0.673 (12),0.665 (15),0.649 (14),0.669 (17),0.658 (16),0.667 (10),0.669 (10),0.721 (10),0.715 (10),
425865,kamal_nayan,0.678 (15),0.670 (14),0.680 (10),0.666 (9),0.697 (15),0.681 (13),0.634 (17),0.638 (17),0.700 (18),0.693 (18),
401786,YZU-NLP,0.677 (16),0.665 (16),0.666 (14),0.641 (15),0.677 (16),0.655 (17),0.658 (11),0.652 (14),0.709 (15),0.713 (11),
401531,HPCC,0.671 (17),0.660 (17),0.661 (16),0.639 (16),0.697 (14),0.678 (14),0.599 (20),0.594 (22),0.729 (9),0.729 (9),
1042781,Sharanya,0.657 (18),0.654 (18),0.640 (18),0.628 (18),0.631 (21),0.622 (21),0.646 (14),0.653 (13),0.712 (12),0.712 (13),
879985,harshhii,0.657 (18),0.654 (18),0.640 (18),0.628 (18),0.631 (21),0.622 (21),0.646 (14),0.653 (13),0.712 (12),0.712 (13),
423472,zibakh,0.650 (19),0.645 (19),0.633 (20),0.620 (19),0.620 (23),0.607 (22),0.634 (16),0.642 (15),0.711 (14),0.712 (12),
421941,AK,0.650 (20),0.645 (20),0.633 (20),0.620 (19),0.620 (24),0.607 (23),0.634 (16),0.642 (15),0.711 (14),0.712 (12),
404838,felipebravom,0.648 (21),0.641 (21),0.639 (19),0.615 (20),0.652 (19),0.635 (18),0.654 (13),0.662 (11),0.648 (22),0.651 (22),
401641,Brun,0.638 (22),0.628 (22),0.629 (21),0.610 (21),0.657 (18),0.626 (20),0.594 (21),0.596 (21),0.672 (20),0.678 (20),
426665,Charles.Chen,0.631 (23),0.615 (24),0.609 (22),0.588 (22),0.625 (22),0.597 (24),0.629 (18),0.622 (18),0.661 (21),0.654 (21),
401311,dbusca,0.619 (24),0.623 (23),0.580 (23),0.575 (23),0.639 (20),0.630 (19),0.583 (22),0.601 (20),0.676 (19),0.686 (19),
880856,allurijairam,0.581 (25),0.570 (25),0.571 (24),0.546 (24),0.615 (25),0.592 (25),0.531 (25),0.535 (24),0.608 (23),0.607 (23),
400383,kakachaguan,0.571 (26),0.558 (26),0.550 (25),0.528 (25),0.576 (26),0.535 (26),0.556 (23),0.565 (23),0.603 (24),0.606 (24),
401091,epochx,0.522 (27),0.506 (27),0.470 (28),0.439 (28),0.561 (27),0.528 (27),0.537 (24),0.531 (25),0.520 (27),0.525 (27),
401103,hkh,0.494 (28),0.485 (29),0.486 (27),0.476 (27),0.512 (29),0.498 (29),0.429 (29),0.426 (30),0.550 (25),0.540 (26),
401266,heukirne,0.483 (29),0.486 (28),0.508 (26),0.516 (26),0.460 (31),0.446 (31),0.425 (30),0.427 (29),0.541 (26),0.556 (25),
406079,amouma,0.482 (30),0.477 (30),0.423 (29),0.425 (29),0.524 (28),0.524 (28),0.490 (27),0.470 (27),0.492 (29),0.490 (29),
400503,gnem,0.468 (31),0.465 (31),0.412 (30),0.407 (30),0.511 (30),0.495 (30),0.437 (28),0.455 (28),0.513 (28),0.505 (28),
