submission_pk,User,Overall,Clarity,Conciseness
412363,naiven,0.264026 (1),0.212186 (1),0.315867 (1),
412466,mcp,0.264472 (2),0.212836 (2),0.316108 (2),
412494,akshaybhonde,0.265301 (3),0.213269 (5),0.317332 (3),
412032,tnguyen,0.265683 (4),0.213681 (6),0.317686 (4),
412479,samarthagarwal23,0.265981 (5),0.213859 (7),0.318104 (5),
404474,mnicosia,0.266946 (6),0.213268 (4),0.320623 (8),
412044,beethoven,0.267150 (7),0.216003 (19),0.318297 (6),
412487,thanhvu,0.267250 (8),0.214345 (10),0.320156 (7),
412416,infinex,0.268461 (9),0.215045 (13),0.321877 (9),
412498,Saigonapps,0.268698 (10),0.213097 (3),0.324299 (12),
412438,jpgomes,0.269053 (11),0.215050 (14),0.323056 (11),
411961,balikasg,0.269821 (12),0.214991 (12),0.324651 (13),
412486,ou,0.269977 (13),0.217525 (33),0.322429 (10),
412496,hieuvq,0.270949 (14),0.215243 (15),0.326654 (15),
410937,SRK,0.271184 (15),0.216573 (22),0.325795 (14),
411594,thanhdng,0.271370 (16),0.214251 (9),0.328489 (19),
407503,cattywampus,0.271394 (17),0.214841 (11),0.327947 (18),
412462,lucky_luke9,0.272086 (18),0.217063 (29),0.327110 (16),
404940,Qingchen,0.272682 (19),0.217446 (31),0.327918 (17),
412308,abbed,0.272905 (20),0.216985 (28),0.328826 (20),
411539,namkhanhtran,0.273077 (21),0.216916 (26),0.329238 (21),
411599,Yaqin,0.273338 (22),0.216955 (27),0.329721 (22),
412490,TCS-Research,0.273399 (23),0.214085 (8),0.332713 (24),
412433,sonvx,0.274151 (24),0.217493 (32),0.330809 (23),
410751,pbcquoc,0.274416 (25),0.215677 (17),0.333155 (25),
412445,peter1412,0.275992 (26),0.216773 (25),0.335210 (27),
411836,eddopd,0.276535 (27),0.216695 (23),0.336375 (29),
411068,LoL,0.276544 (28),0.216765 (24),0.336323 (28),
407497,deepk,0.276642 (29),0.218262 (38),0.335023 (26),
412085,Daneel,0.277197 (30),0.217189 (30),0.337205 (30),
412468,Archit305,0.277250 (31),0.214085 (8),0.340415 (33),
412446,zanelim,0.277360 (32),0.216243 (20),0.338478 (31),
412170,iamkaram,0.277861 (33),0.215307 (16),0.340415 (33),
412291,hanxiaoitan,0.278420 (34),0.218317 (41),0.338524 (32),
411490,mannu1200,0.280527 (35),0.217730 (35),0.343323 (35),
412354,Vishalilab,0.280962 (36),0.215824 (18),0.346099 (39),
401162,anuj.saini.mca,0.281659 (37),0.217864 (37),0.345453 (37),
407350,kirubakumaresh,0.281725 (38),0.217824 (36),0.345627 (38),
412322,GD,0.282405 (39),0.216271 (21),0.348538 (44),
