submission_pk,User,total,aircraft,cifar100,daimlerpedcls,dtd,gtsrb,imagenet12,omniglot,svhn,ucf101,vgg-flowers
1096024,MaskDetMaster,4028.32 (1),301.12 (5),456.08 (1),902.32 (1),350.61 (1),370.79 (7),457.50 (1),163.93 (10),295.98 (4),319.26 (1),410.74 (2),
910749,AI2lab,3747.07 (2),534.45 (1),284.38 (2),450.24 (5),287.84 (3),740.56 (1),291.58 (4),317.58 (4),303.29 (2),247.60 (3),289.55 (7),
478009,lovian20,3507.04 (3),259.11 (9),224.93 (6),625.82 (2),249.42 (8),726.83 (2),304.07 (2),311.41 (5),196.49 (10),231.17 (7),377.79 (5),
444571,mancinim,3263.23 (4),149.36 (10),243.61 (3),400.66 (6),291.05 (2),665.34 (3),261.62 (5),320.41 (3),247.28 (6),224.70 (8),459.18 (1),
1086106,ions,3147.87 (5),317.95 (3),193.00 (8),474.88 (4),248.83 (9),726.83 (2),0.00 (11),305.85 (6),214.66 (8),259.05 (2),406.82 (3),
533541,shikun,2941.09 (6),268.83 (8),235.40 (5),173.86 (8),260.29 (7),572.11 (4),302.73 (3),344.06 (1),299.62 (3),244.10 (4),240.08 (8),
417479,amir.rosenfeld,2851.31 (7),299.88 (6),195.96 (7),155.41 (9),261.51 (6),472.60 (6),224.15 (7),337.05 (2),282.80 (5),231.69 (6),390.26 (4),
431573,pytorch,2837.99 (8),316.25 (4),191.04 (9),624.13 (3),272.02 (4),199.85 (9),223.54 (8),247.48 (9),358.99 (1),213.30 (10),191.40 (10),
479425,kshitid20,2755.86 (9),287.17 (7),236.76 (4),103.75 (10),265.20 (5),533.97 (5),255.76 (6),290.00 (7),242.87 (7),242.77 (5),297.61 (6),
560853,parrot_3,1623.72 (10),129.60 (11),160.13 (10),93.92 (11),190.64 (10),340.22 (8),0.00 (11),265.22 (8),201.96 (9),224.45 (9),17.59 (12),
627010,xuanhe,1062.32 (11),49.93 (12),0.00 (12),338.10 (7),72.77 (12),131.12 (10),0.00 (11),134.20 (11),46.71 (11),79.68 (12),209.81 (9),
757522,lsc4452372,779.70 (12),23.90 (13),4.10 (11),24.95 (12),161.08 (11),93.64 (11),172.61 (10),128.04 (12),7.96 (12),135.92 (11),27.51 (11),
641286,ducnguyen,333.93 (13),333.93 (2),0.00 (12),0.00 (13),0.00 (13),0.00 (12),0.00 (11),0.00 (13),0.00 (13),0.00 (14),0.00 (13),
734160,lyang166,221.39 (14),4.27 (14),0.00 (12),0.00 (13),0.00 (13),0.00 (12),206.79 (9),0.00 (13),0.00 (13),10.33 (13),0.00 (13),
